row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất (*),Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.995.200.171,204.470.945.267,374.727.273,216.840.872.711,11995200171.0,204470945267.0,374727273.0,216840872711.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,15.216.834.548,-,15.216.834.548,,15216834548.0,,15216834548.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,2.889.055.520,-,2.889.055.520,,2889055520.0,,2889055520.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.995.200.171,222.576.835.335,374.727.273,234.946.762.779,11995200171.0,222576835335.0,374727273.0,234946762779.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,129.467.591.710,374.727.273,129.842.318.983,,129467591710.0,374727273.0,129842318983.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,31.016.577.762,-,31.016.577.762,,31016577762.0,,31016577762.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,160.484.169.472,374.727.273,160.858.896.745,,160484169472.0,374727273.0,160858896745.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.995.200.171,75.003.353.557,-,86.998.553.728,11995200171.0,75003353557.0,,86998553728.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.995.200.171,62.092.665.863,-,74.087.866.034,11995200171.0,62092665863.0,,74087866034.0
