row_label_raw,row_label_full,Ông Nguyễn Trung Vũ,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Phó Chủ tịch,,,
Bà Nguyễn Minh Hồi,Bà Nguyễn Minh Hồi,Bà Nguyễn Minh Hồi,Phó Chủ tịch,,,
Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,Thành viên HĐQT độc lập,,,
Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Thành viên HĐQT độc lập,,,
Ông Chu Hữu Chiến,Ông Chu Hữu Chiến,Ông Chu Hữu Chiến,Thành viên,(Miễn nhiệm ngày 25/04/2024),,
