row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.479.910.561,2.070.648.181,50.877.070.641,18.918.308.121,188.345.937.504,116479910561.0,2070648181.0,50877070641.0,18918308121.0,188345937504.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,82.318.182,1.426.207.273,150.023.919,1.658.549.374,,82318182.0,1426207273.0,150023919.0,1658549374.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.330.988.857),(869.194.000),(4.200.182.857),,,-3330988857.0,-869194000.0,-4200182857.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,2.152.966.363,48.972.289.057,18.199.138.040,185.804.304.021,116479910561.0,2152966363.0,48972289057.0,18199138040.0,185804304021.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.266.662.125,1.704.941.478,26.242.578.175,16.297.826.703,66.512.008.481,22266662125.0,1704941478.0,26242578175.0,16297826703.0,66512008481.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.512.425.081,405.504.210,5.551.645.855,1.221.614.246,11.691.189.392,4512425081.0,405504210.0,5551645855.0,1221614246.0,11691189392.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.330.988.857),(137.872.873),(3.468.861.730),,,-3330988857.0,-137872873.0,-3468861730.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.779.087.206,2.110.445.688,28.463.235.173,17.381.568.076,74.734.336.143,26779087206.0,2110445688.0,28463235173.0,17381568076.0,74734336143.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,94.213.248.436,365.706.703,24.634.492.466,2.620.481.418,121.833.929.023,94213248436.0,365706703.0,24634492466.0,2620481418.0,121833929023.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,89.700.823.355,42.520.675,20.509.053.884,817.569.964,111.069.967.878,89700823355.0,42520675.0,20509053884.0,817569964.0,111069967878.0
