row_label_raw,row_label_full,col_0,Dự án Trinity Tower (1),Dự án Dolphin Plaza (2),Cộng,numeric__Dự án Trinity Tower (1),numeric__Dự án Dolphin Plaza (2),numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,135.127.481.829,135.127.481.829,,135127481829.0,135127481829.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,56.524.081.775,-,56.524.081.775,56524081775.0,,56524081775.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,56.524.081.775,135.127.481.829,191.651.563.604,56524081775.0,135127481829.0,191651563604.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,9.759.207.016,9.759.207.016,,9759207016.0,9759207016.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,799.408.519,4.504.249.392,5.303.657.911,799408519.0,4504249392.0,5303657911.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,799.408.519,14.263.456.408,15.062.864.927,799408519.0,14263456408.0,15062864927.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,-,125.368.274.813,125.368.274.813,,125368274813.0,125368274813.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,55.724.673.256,120.864.025.421,176.588.698.677,55724673256.0,120864025421.0,176588698677.0
