row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty con của Công ty Cổ phần,Công ty con của Công ty Cổ phần,Công ty con của Công ty Cổ phần,Truyền thông và Giải trí Ngôi Sao Mới,,,,,,,
Công ty Cổ phần Ngôi sao Unik,Công ty con của Công ty Cổ phần > Công ty Cổ phần Ngôi sao Unik,Công ty Cổ phần Ngôi sao Unik,"Số 137 đường Nguyễn Ngọc Vũ, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội","40,8%",51%,Truyền thông và giải trí,,0.408,0.51,
Công ty con của Công ty TNHH,Công ty con của Công ty TNHH,Công ty con của Công ty TNHH,Quản lý Đối tác Liên kết Cen,,,,,,,
Công ty Cổ phần Cen Housing (**),Công ty con của Công ty TNHH > Công ty Cổ phần Cen Housing (**),Công ty Cổ phần Cen Housing (**),"Số 137 đường Nguyễn Ngọc Vũ, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội","49,28%",51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.4928,0.51,
Công ty Cổ phần Cen Vĩnh Phú (trước đây là Công ty Cổ phần Cen Vĩnh Phúc),Công ty con của Công ty TNHH > Công ty Cổ phần Cen Vĩnh Phú (trước đây là Công ty Cổ phần Cen Vĩnh Phúc),Công ty Cổ phần Cen Vĩnh Phú (trước đây là Công ty Cổ phần Cen Vĩnh Phúc),"166 Nguyễn Công Trú, phường Liên Bảo, thành phố Vĩnh Yên, tỉnh Vĩnh Phúc",54%,54%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.54,0.54,
Công ty Cổ phần Cen Miền Trung,Công ty con của Công ty TNHH > Công ty Cổ phần Cen Miền Trung,Công ty Cổ phần Cen Miền Trung,"324 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng",54%,54%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.54,0.54,
Công ty Cổ phần Cen Bắc Ninh,Công ty con của Công ty TNHH > Công ty Cổ phần Cen Bắc Ninh,Công ty Cổ phần Cen Bắc Ninh,"Tầng 9 tòa nhà VNPT, số 33 Lý Thái Tổ, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh",54%,54%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.54,0.54,
Công ty Cổ phần Cen Hưng Yên,Công ty con của Công ty TNHH > Công ty Cổ phần Cen Hưng Yên,Công ty Cổ phần Cen Hưng Yên,"Tầng 3, tòa nhà Tiến Đạt, số 109 Bùi Thị Cúc, phường Bản Yên Nhân, thị xã Mỹ Hào, tỉnh Hưng Yên",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Thanh Hóa,Công ty con của Công ty TNHH > Công ty Cổ phần Cen Thanh Hóa,Công ty Cổ phần Cen Thanh Hóa,"Lô 13, đường Thống Nhất, Thôn 5, phường Quảng Phú, thành phố Thanh Hoá, tỉnh Thanh Hoá",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Hải Phòng,Công ty con của Công ty TNHH > Công ty Cổ phần Cen Hải Phòng,Công ty Cổ phần Cen Hải Phòng,"Phòng 605 – 606, Tầng 6, Tòa nhà MB, Số 6, Lô 30A, đường Lê Hồng Phong, phường Lạc Viên, quận Ngô Quyền, thành phố Hải Phòng",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Bắc Trung Bộ (trước đây là Công ty Cổ phần Cen Nghệ An),Công ty con của Công ty TNHH > Công ty Cổ phần Cen Bắc Trung Bộ (trước đây là Công ty Cổ phần Cen Nghệ An),Công ty Cổ phần Cen Bắc Trung Bộ (trước đây là Công ty Cổ phần Cen Nghệ An),"Số 139 Lê Nin, phường Hà Huy Tập, thành phố Vinh, tỉnh Nghệ An","51,02%","51,00%","Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.5102,0.51,
Công ty Cổ phần Cen Khánh Hòa,Công ty con của Công ty TNHH > Công ty Cổ phần Cen Khánh Hòa,Công ty Cổ phần Cen Khánh Hòa,"STH 44.19, Đường số 4, KĐT Lê Hồng Phong 2, phường Phước Hải, thành phố Nha Trang, tỉnh Khánh Hòa",51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
