row_label_raw,row_label_full,col_0,col_1,Năm 2024,Năm 2023,numeric__col_1,numeric__Năm 2024,numeric__Năm 2023
,,,,VND,VND,,,
Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,Thu nhập của người quản lý chủ chốt,,,
Ông Nguyễn Trung Vũ,Thu nhập của người quản lý chủ chốt > Ông Nguyễn Trung Vũ,Ông Nguyễn Trung Vũ,Chủ tịch,256.000.000,215.694.445,,256000000.0,215694445.0
Ông Phạm Thanh Hưng,Thu nhập của người quản lý chủ chốt > Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Phó Chủ tịch,206.000.000,273.000.000,,206000000.0,273000000.0
Bà Nguyễn Minh Hồi,Thu nhập của người quản lý chủ chốt > Bà Nguyễn Minh Hồi,Bà Nguyễn Minh Hồi,"Phó Chủ tịch HĐQT, Phó Tổng Giám đốc",2.782.376.173,1.251.041.055,,2782376173.0,1251041055.0
Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,"Thành viên HĐQT độc lập, Chủ tịch Ủy ban kiểm toán",-,-,,,
Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,"Thành viên HĐQT độc lập, Thành viên Ủy ban kiểm toán",-,-,,,
Ông Chu Hữu Chiến,Bà Nguyễn Thị Hoàng Oanh > Ông Chu Hữu Chiến,Ông Chu Hữu Chiến,Thành viên HĐQT (Miễn nhiệm ngày 25/04/2024),-,196.140.430,,,196140430.0
Ông Phạm Đức Hùng,Bà Nguyễn Thị Hoàng Oanh > Ông Phạm Đức Hùng,Ông Phạm Đức Hùng,Tổng Giám đốc,1.636.151.663,605.610.032,,1636151663.0,605610032.0
Bà Vũ Thị Xuân Giang,Bà Nguyễn Thị Hoàng Oanh > Bà Vũ Thị Xuân Giang,Bà Vũ Thị Xuân Giang,Phó Tổng Giám đốc,224.479.167,-,,224479167.0,
Ông Nguyễn Anh Hương,Bà Nguyễn Thị Hoàng Oanh > Ông Nguyễn Anh Hương,Ông Nguyễn Anh Hương,Phó Tổng Giám đốc,32.747.414,138.054.125,,32747414.0,138054125.0
