row_label_raw,row_label_full,Tên bên vay/Hợp đồng cho vay/loại tiền,Mục đích vay,Lãi suất năm,Thời hạn vay,Hình thức bảo đảm,31/12/2024 > VND > 57.710.700.000,01/01/2024 > VND > 421.053.072.948,numeric__Mục đích vay,numeric__Lãi suất năm,numeric__Thời hạn vay,numeric__Hình thức bảo đảm,numeric__31/12/2024 > VND > 57.710.700.000,numeric__01/01/2024 > VND > 421.053.072.948
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,,,
Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,,,,,,
Hợp đồng số 1012/2020/HĐV/CEN-DAINAMSON vay bằng VND,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn > Hợp đồng số 1012/2020/HĐV/CEN-DAINAMSON vay bằng VND,Hợp đồng số 1012/2020/HĐV/CEN-DAINAMSON vay bằng VND,"Thanh toán các chi phí đầu tư của dự án ""Xây dựng khu nhà ở thương mại An Bình Cần Thơ""",20%/năm,20 tháng,Tín chấp,3.760.700.000,3.760.700.000,,,,,3760700000.0,3760700000.0
Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,,,,,,
Hợp đồng số 2312/2022/HĐVTS/TL-CRE vay bằng VND,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink > Hợp đồng số 2312/2022/HĐVTS/TL-CRE vay bằng VND,Hợp đồng số 2312/2022/HĐVTS/TL-CRE vay bằng VND,"Sử dụng vào mục đích đầu tư, kinh doanh",11%/năm,12 tháng,Tín chấp,-,351.943.000.000,,,,,,351943000000.0
Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,,,,,,
Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Công ty Cổ phần CONSGROUP > Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bằng hàng tại dự án khu căn hộ FPT Plaza 2,11%/năm (từ 01/03/2024 là 7%/năm),24 tháng kể từ 10/10/2023,Tín chấp,39.000.000.000,39.000.000.000,,,,,39000000000.0,39000000000.0
Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,,,,,,
Thỏa thuận bù trừ bằng VND,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào > Thỏa thuận bù trừ bằng VND,Thỏa thuận bù trừ bằng VND,Chuyển nhượng dự án Eco Central Park,0%/năm,Cho đến khi Cen Land bán hết dự án,Tín chấp,-,11.399.372.948,,,,,,11399372948.0
Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,Công ty Cổ phần VMF,,,,,,
Hợp đồng vay số 012023/HDVV/CHs-VMF ngày 01/12/2023 vay bằng VND,Công ty Cổ phần VMF > Hợp đồng vay số 012023/HDVV/CHs-VMF ngày 01/12/2023 vay bằng VND,Hợp đồng vay số 012023/HDVV/CHs-VMF ngày 01/12/2023 vay bằng VND,"Sử dụng vào mục đích đầu tư, kinh doanh","4,5%/năm",6 tháng,Tín chấp,14.950.000.000,14.950.000.000,,,,,14950000000.0,14950000000.0
Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,Công ty Cổ phần Phát triển Nhà Bình Minh,,,,,,
Hợp đồng số 012024/HDVV/CHs-NBM vay bằng VND,Hợp đồng số 012024/HDVV/CHs-NBM vay bằng VND,Hợp đồng số 012024/HDVV/CHs-NBM vay bằng VND,"Sử dụng vào mục đích đầu tư, kinh doanh","4,5%/năm",12 tháng,Tín chấp,-,-,,,,,,
,,,,,,,165.405.700.000,518.453.072.948,,,,,165405700000.0,518453072948.0
