row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.636.785.340.000,149.798.900.000,54.125.000.000,(1.080.000),124.560.976.945,617.131.127.936,32.492.879.225,5.614.893.144.106,4636785340000.0,149798900000.0,54125000000.0,-1080000.0,124560976945.0,617131127936.0,32492879225.0,5614893144106.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,8.800.000.000,8.800.000.000,,,,,,,8800000000.0,8800000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,2.003.729.301,51.625.232,2.055.354.533,,,,,,2003729301.0,51625232.0,2055354533.0
Phân phối lợi nhuận tại Công ty mẹ,Phân phối lợi nhuận tại Công ty mẹ,Phân phối lợi nhuận tại Công ty mẹ,-,-,-,-,19.088.724.975,(32.450.832.457),-,(13.362.107.482),,,,,19088724975.0,-32450832457.0,,-13362107482.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,19.088.724.975,(19.088.724.975),-,-,,,,,19088724975.0,-19088724975.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(13.362.107.482),-,(13.362.107.482),,,,,,-13362107482.0,,-13362107482.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,7.475.796.563,672.331.669,8.148.128.232,,,,,,7475796563.0,672331669.0,8148128232.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.636.785.340.000,149.798.900.000,54.125.000.000,(1.080.000),143.649.701.920,594.159.821.343,42.016.836.126,5.620.534.519.389,4636785340000.0,149798900000.0,54125000000.0,-1080000.0,143649701920.0,594159821343.0,42016836126.0,5620534519389.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.636.785.340.000,149.798.900.000,54.125.000.000,(1.080.000),143.649.701.920,594.159.821.343,42.016.836.126,5.620.534.519.389,4636785340000.0,149798900000.0,54125000000.0,-1080000.0,143649701920.0,594159821343.0,42016836126.0,5620534519389.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,41.048.046.349,738.457.204,41.786.503.553,,,,,,41048046349.0,738457204.0,41786503553.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,-,,,,,,,,
Giảm khác tại Công ty con,Tăng khác > Giảm khác tại Công ty con,Giảm khác tại Công ty con,-,-,-,-,-,(268.578.839),(439.039.637),(707.618.476),,,,,,-268578839.0,-439039637.0,-707618476.0
Giảm khác tại Cen Land,Tăng khác > Giảm khác tại Cen Land,Giảm khác tại Cen Land,-,-,-,-,-,(3.582.050),-,(3.582.050),,,,,,-3582050.0,,-3582050.0
Số dư cuối năm nay,Tăng khác > Số dư cuối năm nay,Số dư cuối năm nay,4.636.785.340.000,149.798.900.000,54.125.000.000,(1.080.000),143.649.701.920,634.935.706.803,42.316.253.693,5.661.609.822.416,4636785340000.0,149798900000.0,54125000000.0,-1080000.0,143649701920.0,634935706803.0,42316253693.0,5661609822416.0
