row_label_raw,row_label_full,"- Tầng 4, tháp A Sky City số 88 Láng Hạ, phường Láng Hạ, quận Đống Đa, Hà Nội",Văn phòng làm việc Cenland,numeric__Văn phòng làm việc Cenland
"- Tầng 2,3 - Tòa nhà Golden Place, Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội","- Tầng 2,3 - Tòa nhà Golden Place, Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội","- Tầng 2,3 - Tòa nhà Golden Place, Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội",Làm văn phòng của Cenland và Cen Cuckoo,
"- Tầng 1 - tầng 2 toa K1, K2, K3 - Công trình chung cư kết hợp dịch vụ trên ô đất ký hiệu H-CT2 thuộc Dự án Đầu tư xây dựng khu nhà ở Hi Brand tại khu đỏ thị mới Văn Phú, phường Phú La, quận Hà Đông, có tên thương mại là ""The K-park""","- Tầng 1 - tầng 2 toa K1, K2, K3 - Công trình chung cư kết hợp dịch vụ trên ô đất ký hiệu H-CT2 thuộc Dự án Đầu tư xây dựng khu nhà ở Hi Brand tại khu đỏ thị mới Văn Phú, phường Phú La, quận Hà Đông, có tên thương mại là ""The K-park""","- Tầng 1 - tầng 2 toa K1, K2, K3 - Công trình chung cư kết hợp dịch vụ trên ô đất ký hiệu H-CT2 thuộc Dự án Đầu tư xây dựng khu nhà ở Hi Brand tại khu đỏ thị mới Văn Phú, phường Phú La, quận Hà Đông, có tên thương mại là ""The K-park""",Đế Cen Land kinh doanh cho thuê mặt bằng,
"- Tầng 1,2 toa nhà 137 Nguyễn Ngọc Vũ, Trung Hoà, Cầu Giấy, Hà Nội","- Tầng 1,2 toa nhà 137 Nguyễn Ngọc Vũ, Trung Hoà, Cầu Giấy, Hà Nội","- Tầng 1,2 toa nhà 137 Nguyễn Ngọc Vũ, Trung Hoà, Cầu Giấy, Hà Nội",Văn phòng làm việc Cen Land và các Công ty con,
"- Số 24 ngách 102/20 Pháo Đài Láng, phường Láng Thương, quận Đống Đa, Hà Nội","- Số 24 ngách 102/20 Pháo Đài Láng, phường Láng Thương, quận Đống Đa, Hà Nội","- Số 24 ngách 102/20 Pháo Đài Láng, phường Láng Thương, quận Đống Đa, Hà Nội",Kinh doanh cho thuê,
"- Tổ 3 cụm Kiến Thiết, phường Nhân Chính, quận Thanh Xuân, Hà Nội","- Tổ 3 cụm Kiến Thiết, phường Nhân Chính, quận Thanh Xuân, Hà Nội","- Tổ 3 cụm Kiến Thiết, phường Nhân Chính, quận Thanh Xuân, Hà Nội",Kinh doanh cho thuê,
"- Số 2 đường D21 (Khu dân cư phường Phước Long B), Khu phố 6, phường Phước Long B, quận 9, TP Hồ Chí Minh","- Số 2 đường D21 (Khu dân cư phường Phước Long B), Khu phố 6, phường Phước Long B, quận 9, TP Hồ Chí Minh","- Số 2 đường D21 (Khu dân cư phường Phước Long B), Khu phố 6, phường Phước Long B, quận 9, TP Hồ Chí Minh",Kinh doanh cho thuê,
"- Lô T5-2 và Lô T6, đường D11B, Khu công nghệ cao, phường Tăng Nhon Phú B, thành phố Thủ Đức, TP Hồ Chí Minh","- Lô T5-2 và Lô T6, đường D11B, Khu công nghệ cao, phường Tăng Nhon Phú B, thành phố Thủ Đức, TP Hồ Chí Minh","- Lô T5-2 và Lô T6, đường D11B, Khu công nghệ cao, phường Tăng Nhon Phú B, thành phố Thủ Đức, TP Hồ Chí Minh",Văn phòng làm việc Cen Land và kinh doanh cho thuê,
"- 57 Nguyễn Cơ Thạch, An Lợi Đông, quận 2, Hồ Chí Minh","- 57 Nguyễn Cơ Thạch, An Lợi Đông, quận 2, Hồ Chí Minh","- 57 Nguyễn Cơ Thạch, An Lợi Đông, quận 2, Hồ Chí Minh",Văn phòng làm việc chi nhánh Cen Miền Nam và Công ty Cổ phần Cen HCM,
"- Tầng 9 toa nhà VNPT, số 33 Lý Thái Tổ, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh","- Tầng 9 toa nhà VNPT, số 33 Lý Thái Tổ, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh","- Tầng 9 toa nhà VNPT, số 33 Lý Thái Tổ, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh",Văn phòng làm việc Cen Bắc Ninh,
"- 44 Nguyễn Đình Chiều, phường Hàm Tiến, thành phố Phan Thiết, tỉnh Bình Thuận","- 44 Nguyễn Đình Chiều, phường Hàm Tiến, thành phố Phan Thiết, tỉnh Bình Thuận","- 44 Nguyễn Đình Chiều, phường Hàm Tiến, thành phố Phan Thiết, tỉnh Bình Thuận",Văn phòng làm việc Cen Bình Thuận,
