row_label_raw,row_label_full,Tên công ty,31/12/2025 > Giá gốc VND,31/12/2025 > Giá trị hợp lý VND,31/12/2025 > Dự phòng VND,1/1/2025 > Giá gốc VND,1/1/2025 > Giá trị hợp lý VND,1/1/2025 > Dự phòng VND,numeric__31/12/2025 > Giá gốc VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > Dự phòng VND,numeric__1/1/2025 > Giá gốc VND,numeric__1/1/2025 > Giá trị hợp lý VND,numeric__1/1/2025 > Dự phòng VND
Ngân hàng Thương mại Cổ phần Đông Á (**),Ngân hàng Thương mại Cổ phần Đông Á (**),Ngân hàng Thương mại Cổ phần Đông Á (**),136.265.460.000,(*),(136.265.460.000),136.265.460.000,(*),(136.265.460.000),136265460000.0,,-136265460000.0,136265460000.0,,-136265460000.0
Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,-,-,-,50.000.000.000,(*),(3.152.549.322),,,,50000000000.0,,-3152549322.0
Công ty Cổ phần PVI,Công ty Cổ phần PVI,Công ty Cổ phần PVI,51.475.140.000,45.152.802.000,(6.322.338.000),51.475.140.000,29.616.354.000,(21.858.786.000),51475140000.0,45152802000.0,-6322338000.0,51475140000.0,29616354000.0,-21858786000.0
Công ty Cổ phần Du lịch Dầu khí Phương Đông,Công ty Cổ phần Du lịch Dầu khí Phương Đông,Công ty Cổ phần Du lịch Dầu khí Phương Đông,30.700.950.000,7.486.710.000,(30.700.950.000),30.700.950.000,7.538.160.000,(30.700.950.000),30700950000.0,7486710000.0,-30700950000.0,30700950000.0,7538160000.0,-30700950000.0
Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,35.757.720.722,(*),(35.757.720.722),35.757.720.722,(*),(35.757.720.722),35757720722.0,,-35757720722.0,35757720722.0,,-35757720722.0
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,26.588.267.394,(*),-,26.588.267.394,(*),-,26588267394.0,,,26588267394.0,,
Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,1.161.147.000,(*),(1.161.147.000),1.161.147.000,(*),(1.161.147.000),1161147000.0,,-1161147000.0,1161147000.0,,-1161147000.0
Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,45.000.000.000,(*),(45.000.000.000),45.000.000.000,(*),(45.000.000.000),45000000000.0,,-45000000000.0,45000000000.0,,-45000000000.0
Công ty TNHH Đầu tư Sabeco HP,Công ty TNHH Đầu tư Sabeco HP,Công ty TNHH Đầu tư Sabeco HP,24.426.586.800,(*),(24.426.586.800),24.426.586.800,(*),(24.426.586.800),24426586800.0,,-24426586800.0,24426586800.0,,-24426586800.0
Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,3.954.000.000,(*),(3.954.000.000),3.954.000.000,(*),(3.954.000.000),3954000000.0,,-3954000000.0,3954000000.0,,-3954000000.0
Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,5.600.000.000,(*),(5.600.000.000),5.600.000.000,(*),(5.600.000.000),5600000000.0,,-5600000000.0,5600000000.0,,-5600000000.0
Công ty Cổ phần Kinh doanh Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Thực phẩm Trường Sa,1.500.000.000,(*),(1.500.000.000),-,-,-,1500000000.0,,-1500000000.0,,,
,,,362.429.271.916,,(290.688.202.522),410.929.271.916,,(307.877.199.844),362429271916.0,,-290688202522.0,410929271916.0,,-307877199844.0
