row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy tínhVND,Tài sãnkhácVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy tínhVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.037.993.667.580,135.736.332.265,104.000.000,1.173.833.999.845,1037993667580.0,135736332265.0,104000000.0,1173833999845.0
Tăng từ hợp nhấtkinh doanh,Nguyên giá > Tăng từ hợp nhấtkinh doanh,Tăng từ hợp nhấtkinh doanh,484.013.169.543,2.803.963.351,27.964.955.711,514.782.088.605,484013169543.0,2803963351.0,27964955711.0,514782088605.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.967.677.219,1.463.693.519,3.431.370.738,,1967677219.0,1463693519.0,3431370738.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,8.171.857.819,-,8.171.857.819,,8171857819.0,,8171857819.0
Chuyển từ bất độngsản đầu tư,Nguyên giá > Chuyển từ bất độngsản đầu tư,Chuyển từ bất độngsản đầu tư,27.812.438.744,-,-,27.812.438.744,27812438744.0,,,27812438744.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(528.700.000),-,(528.700.000),,-528700000.0,,-528700000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.549.819.275.867,148.151.130.654,29.532.649.230,1.727.503.055.751,1549819275867.0,148151130654.0,29532649230.0,1727503055751.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,117.817.617.735,98.554.723.575,104.000.000,216.476.341.310,117817617735.0,98554723575.0,104000000.0,216476341310.0
Tăng từ hợp nhấtkinh doanh,Giá trị hao mòn lũy kế > Tăng từ hợp nhấtkinh doanh,Tăng từ hợp nhấtkinh doanh,22.424.604.528,1.959.375.000,-,24.383.979.528,22424604528.0,1959375000.0,,24383979528.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,23.407.593.980,20.574.594.743,3.413.296.663,47.395.485.386,23407593980.0,20574594743.0,3413296663.0,47395485386.0
Chuyển từ bất độngsản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất độngsản đầu tư,Chuyển từ bất độngsản đầu tư,10.930.785.370,-,-,10.930.785.370,10930785370.0,,,10930785370.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(528.700.000),-,(528.700.000),,-528700000.0,,-528700000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,174.580.601.613,120.559.993.318,3.517.296.663,298.657.891.594,174580601613.0,120559993318.0,3517296663.0,298657891594.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,920.176.049.845,37.181.608.690,-,957.357.658.535,920176049845.0,37181608690.0,,957357658535.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.375.238.674.254,27.591.137.336,26.015.352.567,1.428.845.164.157,1375238674254.0,27591137336.0,26015352567.0,1428845164157.0
