row_label_raw,row_label_full,Giá trị ghi sổ tương ứng của tài sản thuần được mua,2025 > 13.948.171.958,2024 > 108.373.130.998,numeric__2025 > 13.948.171.958,numeric__2024 > 108.373.130.998
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,(15.691.824.020),(117.325.418.355),-15691824020.0,-117325418355.0
Chênh lệch ghi nhận trong vốn chủ sở hữu(Thuyết minh 27),Chênh lệch ghi nhận trong vốn chủ sở hữu(Thuyết minh 27),Chênh lệch ghi nhận trong vốn chủ sở hữu(Thuyết minh 27),(1.743.652.062),(8.952.287.357),-1743652062.0,-8952287357.0
