row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,146.777.742.691,-,146.777.742.691,146777742691.0,,146777742691.0
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,132.400.335.911,-,132.400.335.911,132400335911.0,,132400335911.0
"Phải thu khách hàng, thuần","Phải thu khách hàng, thuần","Phải thu khách hàng, thuần",153.017.755.547,-,153.017.755.547,153017755547.0,,153017755547.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,290.652.395.286,(24.127.603.117),266.524.792.169,290652395286.0,-24127603117.0,266524792169.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,16.304.264.799,-,16.304.264.799,16304264799.0,,16304264799.0
"Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần",1.022.723.676.468,459.113.816.597,1.481.837.493.065,1022723676468.0,459113816597.0,1481837493065.0
"Tài sản cố định vô hình, thuần","Tài sản cố định vô hình, thuần","Tài sản cố định vô hình, thuần",64.690.107.849,425.708.001.228,490.398.109.077,64690107849.0,425708001228.0,490398109077.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,280.591.682.978,257.781.781.898,538.373.464.876,280591682978.0,257781781898.0,538373464876.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(401.544.529.643),-,(401.544.529.643),-401544529643.0,,-401544529643.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(297.157.402.011),-,(297.157.402.011),-297157402011.0,,-297157402011.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(152.521.256.967),-,(152.521.256.967),-152521256967.0,,-152521256967.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(122.372.050.289),(223.695.199.321),(346.067.249.610),-122372050289.0,-223695199321.0,-346067249610.0
Giá trị thuần của các tài sản được mua và nợ phải trả gánh chịu có thể xác định được,Giá trị thuần của các tài sản được mua và nợ phải trả gánh chịu có thể xác định được,Giá trị thuần của các tài sản được mua và nợ phải trả gánh chịu có thể xác định được,1.133.562.722.619,894.780.797.285,2.028.343.519.904,1133562722619.0,894780797285.0,2028343519904.0
Giá trị thuần của các tài sản được mua và nợ phải trả gánh chịu có thể xác định được chia sẻ cho Tập đoàn,Giá trị thuần của các tài sản được mua và nợ phải trả gánh chịu có thể xác định được chia sẻ cho Tập đoàn,Giá trị thuần của các tài sản được mua và nợ phải trả gánh chịu có thể xác định được chia sẻ cho Tập đoàn,,,1.318.424.705.572,,,1318424705572.0
