row_label_raw,row_label_full,STT Tên công ty,STT Tên công ty_1,Hoạt động chính,31/12/2025,31/12/2025_1,1/1/2025,1/1/2025_1,numeric__STT Tên công ty_1,numeric__Hoạt động chính,numeric__31/12/2025,numeric__31/12/2025_1,numeric__1/1/2025,numeric__1/1/2025_1
STT Tên công ty,STT Tên công ty,STT Tên công ty,STT Tên công ty,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,
II,II,II,Công ty liên kết,,,,,,,,,,,
1,II > 1,1,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam (*),Tư vấn xây dựng và thiết kế,"28,57%","28,57%","28,57%","28,57%",,,0.2857,0.2857,0.2857,0.2857
2,II > 2,2,Công ty Cổ phần Tập đoàn Bao bì Sài Gòn (*),"Sản xuất chai lọ kim loại, lon và in ấn bao bì","20,89%","27,42%",-,-,,,0.2089,0.2742,,
3,II > 3,3,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,"Sản xuất và kinh doanh bia, rượu và nước giải khát","30,84%","33,85%","30,84%","33,85%",,,0.3084,0.3385,0.3084,0.3385
4,II > 4,4,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp (*),"Sản xuất, lắp đặt các sản phẩm máy móc cấu đường và xây dựng công nghiệp","26,00%","26,00%","26,00%","26,00%",,,0.26,0.26,0.26,0.26
5,II > 5,5,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô (*),"Sản xuất và kinh doanh bia, rượu, nước giải khát, sữa đậu nành và nước ép trái cây","30,96%","34,92%","30,79%","34,92%",,,0.3096,0.3492,0.3079,0.3492
6,II > 6,6,Công ty Cổ phần Bia Sài Gòn - Miền Trung,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","32,40%","32,41%","32,40%","32,41%",,,0.324,0.32409999999999994,0.324,0.32409999999999994
7,II > 7,7,Công ty TNHH Đầu tư Thương mại Tân Thành,Xây dựng và kinh doanh bất động sản,"29,00%","29,00%","29,00%","29,00%",,,0.29,0.29,0.29,0.29
8,II > 8,8,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu (*),"Sản xuất và kinh doanh bia, rượu và nước giải khát","17,26%","20,00%","16,89%","20,00%",,,0.1726,0.2,0.1689,0.2
9,II > 9,9,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,"Sản xuất và kinh doanh bia, rượu và nước giải khát","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
10,II > 10,10,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
11,II > 11,11,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","26,00%","26,00%","26,00%","26,00%",,,0.26,0.26,0.26,0.26
12,II > 12,12,Công ty Cổ phần Bia Sài Gòn - Bến Tre,"Sản xuất và kinh doanh bia, rượu và nước giải khát","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
13,II > 13,13,Công ty Cổ phần Bia Sài Gòn - Long Khánh (*),Sản xuất và kinh doanh bia,"13,13%","20,20%",-,-,,,0.1313,0.20199999999999999,,
14,II > 14,14,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,"Sản xuất, gia công và kinh doanh thực phẩm. nước giải khát, bia và đồ uống có cồn",-,-,"21,80%","22,18%",,,,,0.218,0.2218
III,III,III,Cơ sở kinh doanh đồng kiểm soát,,,,,,,,,,,
15,III > 15,15,Công ty TNHH Trung tâm Mê Linh (**),Cho thuê và quản lý cao ốc văn phòng,"25,00%","25,00%","25,00%","25,00%",,,0.25,0.25,0.25,0.25
16,III > 16,16,Công ty Liên doanh TNHH Crown Sài Gòn (***),Sản xuất lon nhôm,"30,00%","30,00%","30,00%","30,00%",,,0.3,0.3,0.3,0.3
17,III > 17,17,Công ty TNHH Thủy tính Malaya Việt Nam,Sản xuất các sản phẩm thủy tinh,"30,00%","30,00%","30,00%","30,00%",,,0.3,0.3,0.3,0.3
18,III > 18,18,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Sản xuất và kinh doanh các sản phẩm bao bì bằng kim loại,"35,00%","35,00%","35,00%","35,00%",,,0.35,0.35,0.35,0.35
19,III > 19,19,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Sản xuất và kinh doanh rượu và các sản phẩm nước uống có cồn,"45,00%","45,00%","45,00%","45,00%",,,0.45,0.45,0.45,0.45
