row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.236.555.617.582,8.911.158.863.466,225.076.544.655,185.068.145.740,9.972.781.641,11.567.831.953.084,2236555617582.0,8911158863466.0,225076544655.0,185068145740.0,9972781641.0,11567831953084.0
Tăng từ hợp nhất kinh doanh,Nguyên giá > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,988.013.491.574,3.255.495.264.906,62.588.270.566,3.931.730.437,3.301.247.598,4.313.330.005.081,988013491574.0,3255495264906.0,62588270566.0,3931730437.0,3301247598.0,4313330005081.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.386.307.505,47.758.850.463,5.398.231.669,3.177.230.820,-,57.720.620.457,1386307505.0,47758850463.0,5398231669.0,3177230820.0,,57720620457.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,86.342.413.817,42.282.382.772,1.871.193.704,3.219.935.518,3.724.941.349,137.440.867.160,86342413817.0,42282382772.0,1871193704.0,3219935518.0,3724941349.0,137440867160.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(270.000.000),(62.530.800),332.530.800,-,-,-,-270000000.0,-62530800.0,332530800.0,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(6.966.866.158),(10.662.073.869),(16.029.982.654),(2.426.507.953),-,(36.085.430.634),-6966866158.0,-10662073869.0,-16029982654.0,-2426507953.0,,-36085430634.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.305.060.964.320,12.245.970.756.938,279.236.788.740,192.970.534.562,16.998.970.588,16.040.238.015.148,3305060964320.0,12245970756938.0,279236788740.0,192970534562.0,16998970588.0,16040238015148.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.457.334.121.441,7.242.056.816.796,208.539.971.629,166.557.797.338,9.233.422.243,9.083.722.129.447,1457334121441.0,7242056816796.0,208539971629.0,166557797338.0,9233422243.0,9083722129447.0
Tăng từ hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,485.678.997.063,2.300.667.949.588,39.104.787.974,3.773.977.695,2.266.799.696,2.831.492.512.016,485678997063.0,2300667949588.0,39104787974.0,3773977695.0,2266799696.0,2831492512016.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,132.079.526.625,516.733.572.820,8.973.260.798,8.828.294.163,283.264.097,666.897.918.503,132079526625.0,516733572820.0,8973260798.0,8828294163.0,283264097.0,666897918503.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(13.576.924),(318.953.876),332.530.800,-,-,-,-13576924.0,-318953876.0,332530800.0,,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(6.926.076.917),(10.272.208.747),(15.114.267.524),(2.421.433.698),-,(34.733.986.886),-6926076917.0,-10272208747.0,-15114267524.0,-2421433698.0,,-34733986886.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.068.152.991.288,10.048.867.176.581,241.836.283.677,176.738.635.498,11.783.486.036,12.547.378.573.080,2068152991288.0,10048867176581.0,241836283677.0,176738635498.0,11783486036.0,12547378573080.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,779.221.496.141,1.669.102.046.670,16.536.573.026,18.510.348.402,739.359.398,2.484.109.823.637,779221496141.0,1669102046670.0,16536573026.0,18510348402.0,739359398.0,2484109823637.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.236.907.973.032,2.197.103.580.357,37.400.505.063,16.231.899.064,5.215.484.552,3.492.859.442.068,1236907973032.0,2197103580357.0,37400505063.0,16231899064.0,5215484552.0,3492859442068.0
