row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá quy đổi ngoại tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá quy đổi ngoại tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,12.825.623.720.000,3.208.666.226,53.776.366.426,1.181.709.861.073,9.217.801.321.446,23.282.119.935.171,1.154.973.247.501,24.437.093.182.672,12825623720000.0,3208666226.0,53776366426.0,1181709861073.0,9217801321446.0,23282119935171.0,1154973247501.0,24437093182672.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.423.539.822.535,4.423.539.822.535,149.585.254.523,4.573.125.077.058,,,,,4423539822535.0,4423539822535.0,149585254523.0,4573125077058.0
Cổ tức (Thuyết minh 30),Cổ tức (Thuyết minh 30),Cổ tức (Thuyết minh 30),-,-,-,-,(6.412.811.860.000),(6.412.811.860.000),(103.641.510.778),(6.516.453.370.778),,,,,-6412811860000.0,-6412811860000.0,-103641510778.0,-6516453370778.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 25)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 25)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 25)",-,-,-,-,(131.028.135.557),(131.028.135.557),(19.098.534.905),(150.126.670.462),,,,,-131028135557.0,-131028135557.0,-19098534905.0,-150126670462.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,(23.386.771.423),(23.386.771.423),(758.689.458),(24.145.460.881),,,,,-23386771423.0,-23386771423.0,-758689458.0,-24145460881.0
"Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 25)","Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 25)","Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 25)",-,-,-,-,(12.808.372.253),(12.808.372.253),(194.677.813),(13.003.050.066),,,,,-12808372253.0,-12808372253.0,-194677813.0,-13003050066.0
Điều chính quỹ công tác xã hội,Điều chính quỹ công tác xã hội,Điều chính quỹ công tác xã hội,-,-,-,-,(2.419.787),(2.419.787),(68.237.151),(70.656.938),,,,,-2419787.0,-2419787.0,-68237151.0,-70656938.0
Chênh lệch tỷ giá quy đổi ngoại tệ,Chênh lệch tỷ giá quy đổi ngoại tệ,Chênh lệch tỷ giá quy đổi ngoại tệ,-,-,36.086.680.437,-,-,36.086.680.437,-,36.086.680.437,,,36086680437.0,,,36086680437.0,,36086680437.0
Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 6),Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 6),Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 6),-,-,-,3.315.237.683,(5.058.889.745),(1.743.652.062),(13.948.171.958),(15.691.824.020),,,,3315237683.0,-5058889745.0,-1743652062.0,-13948171958.0,-15691824020.0
Thay đổi do mua lại công ty con,Thay đổi do mua lại công ty con,Thay đổi do mua lại công ty con,-,200.118.312,-,1.719.195.187,(9.100.550.415),(7.181.236.916),680.182.406.448,673.001.169.532,,200118312.0,,1719195187.0,-9100550415.0,-7181236916.0,680182406448.0,673001169532.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,12.825.623.720.000,3.408.784.538,89.863.046.863,1.186.744.293.943,7.047.144.144.801,21.152.783.990.145,1.847.031.086.409,22.999.815.076.554,12825623720000.0,3408784538.0,89863046863.0,1186744293943.0,7047144144801.0,21152783990145.0,1847031086409.0,22999815076554.0
