row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2025VND > 146.392.491,Tăng từhợp nhấtkinh doanhVND > -,Cán trừVND > -,Phân loại lạitừ/(sang)thuế phải nộpVND > (146.392.491),31/12/2025VND > -,numeric__1/1/2025VND > 146.392.491,numeric__Tăng từhợp nhấtkinh doanhVND > -,numeric__Cán trừVND > -,numeric__Phân loại lạitừ/(sang)thuế phải nộpVND > (146.392.491),numeric__31/12/2025VND > -
Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,1.847.453.626,1.006.554.846,(1.075.108.925),3.335.570.618,5.114.470.165,1847453626.0,1006554846.0,-1075108925.0,3335570618.0,5114470165.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.721.308.176,-,(1.136.340.874),38.184.850,623.152.152,1721308176.0,,-1136340874.0,38184850.0,623152152.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,2.082.000,-,-,-,2.082.000,2082000.0,,,,2082000.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,4.485.814.040,-,(1.793.531.990),1.370.922.407,4.063.204.457,4485814040.0,,-1793531990.0,1370922407.0,4063204457.0
,,,8.203.050.333,1.006.554.846,(4.004.981.789),4.598.285.384,9.802.908.774,8203050333.0,1006554846.0,-4004981789.0,4598285384.0,9802908774.0
