row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,31/12/2025VND,1/1/2025VND,,
Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,,
Công ty Liên doanh TNHH Crown Sài Gòn,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,404.695.685.526,446.313.320.167,404695685526.0,446313320167.0
Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,88.913.887.648,69.127.226.472,88913887648.0,69127226472.0
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,39.183.925.173,38.664.745.341,39183925173.0,38664745341.0
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,34.418.916.310,28.388.391.022,34418916310.0,28388391022.0
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,21.355.844.071,32.278.282.663,21355844071.0,32278282663.0
Công ty Cổ phần Bia Sài Gòn - Bến Tre,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,21.348.361.023,17.212.153.615,21348361023.0,17212153615.0
Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,18.462.261.307,25.647.116.018,18462261307.0,25647116018.0
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,17.287.039.981,7.998.013.482,17287039981.0,7998013482.0
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,9.374.608.512,9.374.608.512,9374608512.0,9374608512.0
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,5.626.877.760,6.500.098.000,5626877760.0,6500098000.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,2.462.365.590,12.857.859.012,2462365590.0,12857859012.0
Công ty TNHH Thủy tinh Malaya Việt Nam,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,-,8.136.190.818,,8136190818.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Các bên liên quan khác > Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,193.523.096.220,214.356.613.256,193523096220.0,214356613256.0
"Sustainability Expo Co., Ltd","Các bên liên quan khác > Sustainability Expo Co., Ltd","Sustainability Expo Co., Ltd",913.277.100,-,913277100.0,
"Dhospaak Co., Ltd","Các bên liên quan khác > Dhospaak Co., Ltd","Dhospaak Co., Ltd",141.278.855,-,141278855.0,
Công ty TNHH MM Mega Market (Việt Nam),Các bên liên quan khác > Công ty TNHH MM Mega Market (Việt Nam),Công ty TNHH MM Mega Market (Việt Nam),92.914.834,22.110.596,92914834.0,22110596.0
"Bangkok Art Biennale Management Co., Ltd","Các bên liên quan khác > Bangkok Art Biennale Management Co., Ltd","Bangkok Art Biennale Management Co., Ltd",-,767.640.000,,767640000.0
