row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,14.633.767.160.000,522.021.325.200,(9.783.280.000),2.911.539.823.645,18.057.545.028.845,14633767160000.0,522021325200.0,-9783280000.0,2911539823645.0,18057545028845.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.628.301.752.407,2.628.301.752.407,,,,2628301752407.0,2628301752407.0
Hủy cổ phiếu quỹ,Năm trước > Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(11.325.390.000),-,11.325.390.000,-,-,-11325390000.0,,11325390000.0,,
Mua lại cổ phiếu quỹ,Năm trước > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(9.141.790.000),-,(9.141.790.000),,,-9141790000.0,,-9141790000.0
Chia cổ tức bằng tiền,Năm trước > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,,(730.957.693.995),(730.957.693.995),,,,-730957693995.0,-730957693995.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,14.622.441.770.000,522.021.325.200,(7.599.680.000),4.808.883.882.057,19.945.747.297.257,14622441770000.0,522021325200.0,-7599680000.0,4808883882057.0,19945747297257.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,14.622.441.770.000,522.021.325.200,(7.599.680.000),4.808.883.882.057,19.945.747.297.257,14622441770000.0,522021325200.0,-7599680000.0,4808883882057.0,19945747297257.0
Phát hành cổ phiếu theo chương trình ESOP (i),Năm nay > Phát hành cổ phiếu theo chương trình ESOP (i),Phát hành cổ phiếu theo chương trình ESOP (i),174.490.000.000,-,-,-,174.490.000.000,174490000000.0,,,,174490000000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,8.852.903.913.674,8.852.903.913.674,,,,8852903913674.0,8852903913674.0
Mua lại cổ phiếu quỹ (ii),Năm nay > Mua lại cổ phiếu quỹ (ii),Mua lại cổ phiếu quỹ (ii),-,-,(4.764.460.000),-,(4.764.460.000),,,-4764460000.0,,-4764460000.0
Mua lại cổ phiếu quỹ để giảm vốn cổ phần (iii),Năm nay > Mua lại cổ phiếu quỹ để giảm vốn cổ phần (iii),Mua lại cổ phiếu quỹ để giảm vốn cổ phần (iii),-,-,(811.106.251.046),-,(811.106.251.046),,,-811106251046.0,,-811106251046.0
Giảm vốn cổ phần từ hủy cổ phiếu quỹ (iii),Năm nay > Giảm vốn cổ phần từ hủy cổ phiếu quỹ (iii),Giảm vốn cổ phần từ hủy cổ phiếu quỹ (iii),(100.000.000.000),(711.106.251.046),811.106.251.046,-,-,-100000000000.0,-711106251046.0,811106251046.0,,
Chia cổ tức bằng tiền (iv),Năm nay > Chia cổ tức bằng tiền (iv),Chia cổ tức bằng tiền (iv),-,-,-,(1.478.456.763.000),(1.478.456.763.000),,,,-1478456763000.0,-1478456763000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,14.696.931.770.000,(189.084.925.846),(12.364.140.000),12.183.331.032.731,26.678.813.736.885,14696931770000.0,-189084925846.0,-12364140000.0,12183331032731.0,26678813736885.0
