row_label_raw,row_label_full,Số đầu năm,Năm nay > 14.622.441.770.000,VNDNăm trước > 14.633.767.160.000,numeric__Năm nay > 14.622.441.770.000,numeric__VNDNăm trước > 14.633.767.160.000
Phát hành cổ phiếu theo chương trình ESOP,Phát hành cổ phiếu theo chương trình ESOP,Phát hành cổ phiếu theo chương trình ESOP,174.490.000.000,-,174490000000.0,
Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(100.000.000.000),(11.325.390.000),-100000000000.0,-11325390000.0
Số cuối năm,Số cuối năm,Số cuối năm,14.696.931.770.000,14.622.441.770.000,14696931770000.0,14622441770000.0
Cổ tức đã công bố và chi trả trong năm,Cổ tức đã công bố và chi trả trong năm,Cổ tức đã công bố và chi trả trong năm,Cổ tức đã công bố và chi trả trong năm,Cổ tức đã công bố và chi trả trong năm,,
Cổ tức đã công bố,Cổ tức đã công bố và chi trả trong năm > Cổ tức đã công bố,Cổ tức đã công bố,1.478.456.763.000,730.957.694.000,1478456763000.0,730957694000.0
Cổ tức đã chi trả bằng tiền,Cổ tức đã công bố và chi trả trong năm > Cổ tức đã chi trả bằng tiền,Cổ tức đã chi trả bằng tiền,1.478.456.763.000,730.957.694.000,1478456763000.0,730957694000.0
