row_label_raw,row_label_full,Tên công ty,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Hoạt động chính,%sở hữu,Giá gốc đầu tưVND,Dự phòngVND,%sở hữu,Giá gốc đầu tưVND,Dự phòngVND,,,,,,,,
Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,Tên công ty > Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,"Thành phố Hồ Chí Minh, Việt Nam",Quản lý khoản đầu tư,"94,99",14.049.800.000.000,-,"94,99",14.049.800.000.000,-,,,94.99,14049800000000.0,,94.99,14049800000000.0,
Công ty Cổ phần Đầu tư Điện Máy Xanh,Tên công ty > Công ty Cổ phần Đầu tư Điện Máy Xanh,Công ty Cổ phần Đầu tư Điện Máy Xanh,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại sản phẩm điện tử,"98,95",4.426.023.111.000,-,"99,95",4.426.023.111.000,-,,,98.95,4426023111000.0,,99.95,4426023111000.0,
Công ty Cổ phần Thế Giới Số Trần Anh (i),Tên công ty > Công ty Cổ phần Thế Giới Số Trần Anh (i),Công ty Cổ phần Thế Giới Số Trần Anh (i),"Thành phố Hà Nội, Việt Nam",Thương mại sản phẩm điện tử,"99,33",860.937.300.707,(551.253.156.750),"99,33",860.937.300.707,-,,,99.33,860937300707.0,-551253156750.0,99.33,860937300707.0,
Công ty TNHH MTV Công nghệ Thông tin Thế Giới Dĩ Động,Tên công ty > Công ty TNHH MTV Công nghệ Thông tin Thế Giới Dĩ Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Dĩ Động,"Thành phố Hồ Chí Minh, Việt Nam",Công nghệ thông tin,"100,00",538.000.000.000,-,"100,00",538.000.000.000,-,,,100.0,538000000000.0,,100.0,538000000000.0,
Công ty Cổ phần 4K Farm (i),Tên công ty > Công ty Cổ phần 4K Farm (i),Công ty Cổ phần 4K Farm (i),"Tỉnh Bà Rịa – Vũng Tàu, Việt Nam",Nông nghiệp,"99,99",161.998.900.000,(148.987.852.705),"99,99",161.998.900.000,(148.149.315.648),,,99.99,161998900000.0,-148987852705.0,99.99,161998900000.0,-148149315648.0
Công ty TNHH MTV Đầu tư Thiện Tâm (ii),Tên công ty > Công ty TNHH MTV Đầu tư Thiện Tâm (ii),Công ty TNHH MTV Đầu tư Thiện Tâm (ii),"Thành phố Hồ Chí Minh, Việt Nam",Quản lý khoản đầu tư,"100,00",2.105.000.000.000,-,-,-,-,,,100.0,2105000000000.0,,,,
Công ty TNHH MTV Đầu tư An Nhi (iii),Tên công ty > Công ty TNHH MTV Đầu tư An Nhi (iii),Công ty TNHH MTV Đầu tư An Nhi (iii),"Thành phố Hồ Chí Minh, Việt Nam",Quản lý khoản đầu tư,"100,00",400.000.000.000,-,-,-,-,,,100.0,400000000000.0,,,,
Công ty Cổ phần Thợ Điện Máy Xanh (iv),Tên công ty > Công ty Cổ phần Thợ Điện Máy Xanh (iv),Công ty Cổ phần Thợ Điện Máy Xanh (iv),"Thành phố Hồ Chí Minh, Việt Nam","Dịch vụ lắp đặt, bảo trì",-,,-,"99,99",99.998.900.000,-,,,,,,99.99,99998900000.0,
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,,22.541.759.311.707,(700.241.009.455),,20.136.758.211.707,(148.149.315.648),,,,22541759311707.0,-700241009455.0,,20136758211707.0,-148149315648.0
