row_label_raw,row_label_full,Nhận tạm ứng cổ tức (Thuyết minh số 18),Số cuối năm > 20.634.327.612,VND Số đầu năm > -,numeric__Số cuối năm > 20.634.327.612,numeric__VND Số đầu năm > -
Khác,Khác,Khác,1.561.096.133,1.549.524.356,1561096133.0,1549524356.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,22.195.423.745,1.549.524.356,22195423745.0,1549524356.0
