row_label_raw,row_label_full,6. Chứng khoán đầu tu,31/12/2023,01/01/2023,numeric__31/12/2023,numeric__01/01/2023
6.1. Chứng khoán đầu tu sẵn sàng để bán,6.1. Chứng khoán đầu tu sẵn sàng để bán,6.1. Chứng khoán đầu tu sẵn sàng để bán,,,,
Chứng khoán Nơ,6.1. Chứng khoán đầu tu sẵn sàng để bán > Chứng khoán Nơ,Chứng khoán Nơ,7 736.856,5.934.530,,5934530.0
- 1rất phiếu/tư phiếu Chính phu,- 1rất phiếu/tư phiếu Chính phu,- 1rất phiếu/tư phiếu Chính phu,3 736 856,5 634 530,,
- Chứng khoán do các TCTD khác tơng nước phát hành,- 1rất phiếu/tư phiếu Chính phu > - Chứng khoán do các TCTD khác tơng nước phát hành,- Chứng khoán do các TCTD khác tơng nước phát hành,4 000 000,300.000,,300000.0
Cộng,- 1rất phiếu/tư phiếu Chính phu > Cộng,Cộng,7.736.856,5.934.530,7736856.0,5934530.0
6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,
- Chứng khoán Nơ do các TCKT trong nước phát hành (*),6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chứng khoán Nơ do các TCKT trong nước phát hành (*),- Chứng khoán Nơ do các TCKT trong nước phát hành (*),5.652 828,5.949.596,,5949596.0
6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (i),6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > 6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (i),6.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (i),(277.923),(431 643),-277923.0,
Cộng,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,5.374.905,5.517.953,5374905.0,5517953.0
Tổng công,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng công,Tổng công,13.111.761,11.452.483,13111761.0,11452483.0
