row_label_raw,row_label_full,Năm nay > Số dư đầu năm > Dư phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng chung > 343.698 > (31.104),Dự phòng cụ thể > 615.964 > 139.221,numeric__Dự phòng chung > 343.698 > (31.104),numeric__Dự phòng cụ thể > 615.964 > 139.221
Tăng quỹ dư phòng do nhân lại nợ từ VAMC,Tăng quỹ dư phòng do nhân lại nợ từ VAMC,Tăng quỹ dư phòng do nhân lại nợ từ VAMC,-,10.316,,10316.0
Số dư cuối năm (*),Số dư cuối năm (*),Số dư cuối năm (*),312.594,765.501,312594.0,765501.0
Năm trước,Năm trước,Năm trước,Dự phòng chung,Dự phòng cụ thể,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,303.086,388.529,303086.0,388529.0
Dư phòng rủi ro trích lập / (hoàn nhập) trong năm,Năm trước > Dư phòng rủi ro trích lập / (hoàn nhập) trong năm,Dư phòng rủi ro trích lập / (hoàn nhập) trong năm,40 612,227.463,,227463.0
Sư dụng dư phòng rủi ro tín dụng trong năm,Năm trước > Sư dụng dư phòng rủi ro tín dụng trong năm,Sư dụng dư phòng rủi ro tín dụng trong năm,-,(28),,-28.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,343.698,615.964,343698.0,615964.0
Chỉ tiết số dư dự phòng cuối năm (*),Chỉ tiết số dư dự phòng cuối năm (*),Chỉ tiết số dư dự phòng cuối năm (*),31/12/2023,01/01/2023,,
Dự phòng rủi ro cho vay khach hàng,Chỉ tiết số dư dự phòng cuối năm (*) > Dự phòng rủi ro cho vay khach hàng,Dự phòng rủi ro cho vay khach hàng,1.078.095,959 662,1078095.0,
+ Dư phòng chung,+ Dư phòng chung,+ Dư phòng chung,312 594,343 698,,
+ Dư phòng cụ thể,+ Dư phòng chung > + Dư phòng cụ thể,+ Dư phòng cụ thể,765.501,615.964,765501.0,615964.0
Cộng,+ Dư phòng chung > Cộng,Cộng,1.078.095,959.662,1078095.0,959662.0
