row_label_raw,row_label_full,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác_1,11. Tiền gửi và vay các TCTD khác_2,numeric__11. Tiền gửi và vay các TCTD khác_1,numeric__11. Tiền gửi và vay các TCTD khác_2
,,,31/12/2023,01/01/2023,,
a Tiền gửi không kỳ han,a Tiền gửi không kỳ han,a Tiền gửi không kỳ han,5 023 296,2 517 244,,
- Bằng VND,- Bằng VND,- Bằng VND,5 023.229,2 517.181,,
- Bằng ngoại hồi,- Bằng VND > - Bằng ngoại hồi,- Bằng ngoại hồi,67,63,67.0,63.0
b. Tiền gửi có kỳ han,b. Tiền gửi có kỳ han,b. Tiền gửi có kỳ han,4.007 005,6 000.000,,
- Bằng VND,- Bằng VND,- Bằng VND,4.007 005,6.000 000,,
- Bằng ngoại hồi,- Bằng ngoại hồi,- Bằng ngoại hồi,-,-,,
Cộng,- Bằng ngoại hồi > Cộng,Cộng,9.030.301,8.517.244,9030301.0,8517244.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,31/12/2023,01/01/2023,,
Tiền gửi không kỳ han,- Thuyết minh theo loại tiền gửi > Tiền gửi không kỳ han,Tiền gửi không kỳ han,4.608.362,6.244.346,4608362.0,6244346.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,4.329.314,5 859 942,4329314.0,
- Bằng ngoại hồi,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hồi,- Bằng ngoại hồi,279.048,384 404,279048.0,
Tiền gửi có kỳ han,- Thuyết minh theo loại tiền gửi > Tiền gửi có kỳ han,Tiền gửi có kỳ han,71.988.138,64.789.457,71988138.0,64789457.0
- Bằng VND,- Bằng VND,- Bằng VND,71 908 816,64 663 237,,
- Bằng ngoại hồi,- Bằng ngoại hồi,- Bằng ngoại hồi,79 322,126 220,,
Tiền gửi vốn chuyên dùng,- Bằng ngoại hồi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,283,802,283.0,802.0
Tiền gửi ký quỹ,- Bằng ngoại hồi > Tiền gửi ký quỹ,Tiền gửi ký quỹ,279.076,372 490,279076.0,
- Bằng VND,- Bằng VND,- Bằng VND,277 159,372 490,,
- Bằng ngoại hồi,- Bằng ngoại hồi,- Bằng ngoại hồi,1 917,-,,
Tổng cộng,- Bằng ngoại hồi > Tổng cộng,Tổng cộng,76.875.859,71.407.095,76875859.0,71407095.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2023,01/01/2023,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,6.132.205,9 484.997,6132205.0,
Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,1 639.614,2 198 301,,
"Công ty CP, TNHH, Hợp danh","Công ty CP, TNHH, Hợp danh","Công ty CP, TNHH, Hợp danh",3 603 168,5 753 713,,
Doanh nghiệp tư nhân,"Công ty CP, TNHH, Hợp danh > Doanh nghiệp tư nhân",Doanh nghiệp tư nhân,1.190,953,1190.0,953.0
"Công ty chứng khoán, bảo hiểm, tài chính","Công ty CP, TNHH, Hợp danh > Công ty chứng khoán, bảo hiểm, tài chính","Công ty chứng khoán, bảo hiểm, tài chính",108.875,766 407,108875.0,
"Kinh tế cá thể, Kinh tế tập thể","Công ty CP, TNHH, Hợp danh > Kinh tế cá thể, Kinh tế tập thể","Kinh tế cá thể, Kinh tế tập thể",752.073,717 749,752073.0,
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,27 285,47 874,,
Tiền gửi của cá nhân,Tiền gửi của cá nhân,Tiền gửi của cá nhân,70 743 654,61 922.098,,
Tổng cộng,Tiền gửi của cá nhân > Tổng cộng,Tổng cộng,76.875.859,71.407.095,76875859.0,71407095.0
"13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,
,,,31/12/2023,01/01/2023,,
"Vốn nhân tài trợ, ủy thác đầu tư, cho vay bằng VND","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Vốn nhân tài trợ, ủy thác đầu tư, cho vay bằng VND","Vốn nhân tài trợ, ủy thác đầu tư, cho vay bằng VND",16.658,22 240,16658.0,
"Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ",-,-,,
"Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ > Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",16.658,22.240,16658.0,22240.0
