row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Trên 1 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Tổng
"Tiền mặt. vàng bac, đá quý","Tiền mặt. vàng bac, đá quý","Tiền mặt. vàng bac, đá quý",-,-,248.513,-,-,-,248.513,,,248513.0,,,,248513.0
Tiền goin tại ngân hàng Nhà nước,Tiền goin tại ngân hàng Nhà nước,Tiền goin tại ngân hàng Nhà nước,-,-,2.287.057,-,-,-,2.287.057,,,2287057.0,,,,2287057.0
"Tiền, vàng goin tại và cho vay cac TCTD khác (*)","Tiền, vàng goin tại và cho vay cac TCTD khác (*)","Tiền, vàng goin tại và cho vay cac TCTD khác (*)",-,-,8 460 903,-,-,-,8 460 903,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,,,,,,,
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),11.037 201,3 710.838,2.443 448,3.167 185,14 691.229,20.294.358,55 344 259,,,,,,20294358.0,
Chứng khoán đầu tư (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,288.261,1.700.000,300 000,2.009.146,9.092 277,13 389.684,,288261.0,1700000.0,,2009146.0,,
"Góp vốn, đầu tư dài han (*)","Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Góp vốn, đầu tư dài han (*)","Góp vốn, đầu tư dài han (*)",-,-,-,-,-,919.600,919 600,,,,,,919600.0,
Tài sản có định và Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản có định và Bất động sản đầu tư,Tài sản có định và Bất động sản đầu tư,-,-,-,-,-,784.155,784 155,,,,,,784155.0,
Tài sản Có khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản Có khác (*),Tài sản Có khác (*),-,-,338.391,72.683,73.691,15.966.773,16 451.538,,,338391.0,72683.0,73691.0,15966773.0,
Tổng Tài sản,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tổng Tài sản,Tổng Tài sản,11.037.201,3.999.099,15.478.312,3.539.868,16.774.066,47.057.163,97.885.709,11037201.0,3999099.0,15478312.0,3539868.0,16774066.0,47057163.0,97885709.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,9.030 301,-,-,-,9 030 301,,,,,,,
Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,-,-,-,-,-,-,-,,,,,,,
Tiền gửi của khach hàng,Tiền vay từ Chính phủ và NHNN > Tiền gửi của khach hàng,Tiền gửi của khach hàng,-,-,15.331 430,13.635 546,32.521.636,15 387 247,76 875 859,,,,,32521636.0,,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tiền vay từ Chính phủ và NHNN > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,992,17.055,8 360,-,26 407,,,992.0,17055.0,,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Tiền vay từ Chính phủ và NHNN > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,16 658,16.658,,,,,,,16658.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,3.166 906,3 166.906,,,,,,,
Các khoản nợ khac,Phát hành giấy tờ có giá > Các khoản nợ khac,Các khoản nợ khac,-,-,875.022,574 411,572 133,25.155,2 046 721,,,875022.0,,,25155.0,
Tổng Nợ phải trả,Phát hành giấy tờ có giá > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,25.237.745,14.227.012,33.102.129,18.595.966,91.162.852,,,25237745.0,14227012.0,33102129.0,18595966.0,91162852.0
Mức chênh thanh khoản ròng,Phát hành giấy tờ có giá > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,11.037.201,3.999.099,(9.759.433),(10.687.144),(16.328.063),28.461.197,6.722.857,11037201.0,3999099.0,-9759433.0,-10687144.0,-16328063.0,28461197.0,6722857.0
