row_label_raw,row_label_full,Chỉ tiêu,USD được quy đổi,EUR được quy đổi,Các ngoại tệ khácđược quy đổi,Tổng,numeric__USD được quy đổi,numeric__EUR được quy đổi,numeric__Các ngoại tệ khácđược quy đổi,numeric__Tổng
Tải sân,Tải sân,Tải sân,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sân > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",23.875,124,110,24 109,23875.0,124.0,110.0,
Tiền gọi tại ngân hàng Nhà nước,Tiền gọi tại ngân hàng Nhà nước,Tiền gọi tại ngân hàng Nhà nước,35 568,-,-,35 568,,,,
"Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)",367 905,2 674,11 822,382 401,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),"Tiền, vàng gói tại và cho vay các TCTD khác (*) > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*)",Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,265,-,265,,265.0,,265.0
Cho vay khách hang (*),Cho vay khách hang (*),Cho vay khách hang (*),210 582,-,-,210 582,,,,
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,,,,
"Gớp vốn, đầu tư dài han (*)","Gớp vốn, đầu tư dài han (*)","Gớp vốn, đầu tư dài han (*)",-,-,-,-,,,,
Tài sân cố định và Bất động sản đầu tư,Tài sân cố định và Bất động sản đầu tư,Tài sân cố định và Bất động sản đầu tư,-,-,-,-,,,,
Tài sân Có khác (*),Tài sân cố định và Bất động sản đầu tư > Tài sân Có khác (*),Tài sân Có khác (*),877,-,-,877,877.0,,,877.0
Tổng Tài sân,Tài sân cố định và Bất động sản đầu tư > Tổng Tài sân,Tổng Tài sân,638.807,3.063,11.932,653.802,638807.0,3063.0,11932.0,653802.0
Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,67,-,67,,67.0,,67.0
Tiền gửi của khách hàng,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,357 182,3 103,82,360.367,,,82.0,360367.0
Các công cụ tài chính phải sinh và các khoản nợ tại chính khác,Nợ phải trả và Vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tại chính khác,Các công cụ tài chính phải sinh và các khoản nợ tại chính khác,886.253,-,-,886 253,886253.0,,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,,,,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,,,,
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,28 852,-,-,28 852,,,,
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,-,-,-,-,,,,
Tổng Nợ phải trả và Vốn chủ sở hữu,Vốn và các quỹ > Tổng Nợ phải trả và Vốn chủ sở hữu,Tổng Nợ phải trả và Vốn chủ sở hữu,1.272.288,3.170,82,1.275.540,1272288.0,3170.0,82.0,1275540.0
Trang thái tiền tệ nội bảng,Vốn và các quỹ > Trang thái tiền tệ nội bảng,Trang thái tiền tệ nội bảng,(633.481),(107),11.850,(621.738),-633481.0,-107.0,11850.0,-621738.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(72 765),-,-,(72 765),,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(706.246),(107),11.850,(694.503),-706246.0,-107.0,11850.0,-694503.0
