row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 01 tháng,Từ 01 đến 03 tháng,Từ 03 đến 06 tháng,Từ 06 đến 12 tháng,Từ 1 đến 5 năm,Tiên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 01 tháng,numeric__Từ 01 đến 03 tháng,numeric__Từ 03 đến 06 tháng,numeric__Từ 06 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Tiên 5 năm,numeric__Tổng
"Tiền mắt, vàng bac, da quy","Tiền mắt, vàng bac, da quy","Tiền mắt, vàng bac, da quy",-,248 513,-,-,-,-,-,-,248 513,,,,,,,,,
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,2.287 057,-,-,-,-,-,2 287.057,,,,,,,,,
"Tiền, vang gui tai va cho vay các TCTD khác (*)","Tiền, vang gui tai va cho vay các TCTD khác (*)","Tiền, vang gui tai va cho vay các TCTD khác (*)",-,-,8 460 903,-,-,-,-,-,8 460 903,,,,,,,,,
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Các công cu tai chính phải sinh và các tài sản tài chính khác (*),Các công cu tai chính phải sinh và các tài sản tài chính khác (*),Các công cu tai chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),14 748 039,-,9 305 505,21 823 781,1 140 822,2 931 410,5 366 135,28 567,55.344 259,,,,,,,,,
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),288 260,-,1 700.000,300 000,-,2 009 146,4 953.987,4 138 291,13 389 684,,,,,,,,,
"Gop vốn, đầu tư dài hạn (*)","Gop vốn, đầu tư dài hạn (*)","Gop vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,919 600,919 600,,,,,,,,,
Tài sản cố dinh và Bất động san đầu tư,Tài sản cố dinh và Bất động san đầu tư,Tài sản cố dinh và Bất động san đầu tư,-,784 155,-,-,-,-,-,-,784 155,,,,,,,,,
Lài sản Có khác (*),Tài sản cố dinh và Bất động san đầu tư > Lài sản Có khác (*),Lài sản Có khác (*),-,9 369.000,313.945,78 347,5.442,47 956,3 509 435,3 127 413,16 451 538,,,313945.0,,5442.0,,,,
Tổng Tài sản,Tài sản cố dinh và Bất động san đầu tư > Tổng Tài sản,Tổng Tài sản,15.036.299,10.401.668,22.067.410,22.202.128,1.146.264,4.988.512,13.829.557,8.213.871,97.885.709,15036299.0,10401668.0,22067410.0,22202128.0,1146264.0,4988512.0,13829557.0,8213871.0,97885709.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khac,Tiền gửi của và vay từ NHNN và các TCTD khac,Tiền gửi của và vay từ NHNN và các TCTD khac,-,-,9 030 301,-,-,-,-,-,9 030 301,,,,,,,,,
Tiền gửi của khách hàng,Tiền gửi của và vay từ NHNN và các TCTD khac > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,15.049 147,13.917 829,22.859 439,9 876 595,15 172.834,15,76.875 859,,,,,,,,15.0,
Các công cu tài chính phải sinh và các khoản nợ tài chính khác,Tiền gửi của và vay từ NHNN và các TCTD khac > Các công cu tài chính phải sinh và các khoản nợ tài chính khác,Các công cu tài chính phải sinh và các khoản nợ tài chính khác,-,-,992,17 055,8.360,-,-,-,26.407,,,992.0,,8360.0,,,,26407.0
"Vốn tài trợ, ủy thác dấu tư, cho vay TCTD chịu rui ro","Vốn tài trợ, ủy thác dấu tư, cho vay TCTD chịu rui ro","Vốn tài trợ, ủy thác dấu tư, cho vay TCTD chịu rui ro",-,-,-,-,-,-,-,16 658,16 658,,,,,,,,,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,-,1 991 125,1 175 781,3 166.906,,,,,,,,,
Các khoản nợ khác,Phát hành giấy tờ có giá > Các khoản nợ khác,Các khoản nợ khác,-,240.092,455 321,414 482,255.149,157.658,519 188,4 831,2 046.721,,240092.0,,,255149.0,157658.0,,,
Tổng Nợ phải trả,Phát hành giấy tờ có giá > Tổng Nợ phải trả,Tổng Nợ phải trả,-,240.092,24.535.761,14.349.366,23.122.948,10.034.253,17.683.147,1.197.285,91.162.852,,240092.0,24535761.0,14349366.0,23122948.0,10034253.0,17683147.0,1197285.0,91162852.0
Mức chênh lệch nhạy cảm với lãi suất nội bằng,Phát hành giấy tờ có giá > Mức chênh lệch nhạy cảm với lãi suất nội bằng,Mức chênh lệch nhạy cảm với lãi suất nội bằng,15.036.299,10.161.576,(2.468.351),7.852.762,(21.976.684),(5.045.741),(3.853.590),7.016.586,6.722.857,15036299.0,10161576.0,-2468351.0,7852762.0,-21976684.0,-5045741.0,-3853590.0,7016586.0,6722857.0
Các cam kết ngoại bảng có tac động tới mức độ nhạy cảm với lãi suất của các tài san va công nợ (ròng),Các cam kết ngoại bảng có tac động tới mức độ nhạy cảm với lãi suất của các tài san va công nợ (ròng),Các cam kết ngoại bảng có tac động tới mức độ nhạy cảm với lãi suất của các tài san va công nợ (ròng),-,8 037 427,-,-,-,-,-,-,8 037 427,,,,,,,,,
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tac động tới mức độ nhạy cảm với lãi suất của các tài san va công nợ (ròng) > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng",15.036.299,18.199.003,(2.468 351),7 852.762,(21.976.684),(5.045.741),(3.853.590),7.016.586,14.760.284,15036299.0,18199003.0,,,-21976684.0,-5045741.0,-3853590.0,7016586.0,14760284.0
