row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số du cuối năm,numeric__Số dư đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số du cuối năm
1 Thuế GTGT,1 Thuế GTGT,1 Thuế GTGT,1.338,7.100,7 748,690,1338.0,7100.0,,690.0
2 Thuế TNDN,2 Thuế TNDN,2 Thuế TNDN,-,3.017,3.017,-,,3017.0,3017.0,
3 Cac loại thuế khác,3 Cac loại thuế khác,3 Cac loại thuế khác,3.943,39 393,39.380,3.956,3943.0,,39380.0,3956.0
Tổng cộng,Tổng cộng,Tổng cộng,5.281,49.510,50.145,4.646,5281.0,49510.0,50145.0,4646.0
