row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,31/12/2023,01/01/2023,numeric__Thuyết minh,numeric__31/12/2023,numeric__01/01/2023
B NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,
I. Các khoản nợ chính phủ và Ngân hàng Nhà nước,I. Các khoản nợ chính phủ và Ngân hàng Nhà nước,I. Các khoản nợ chính phủ và Ngân hàng Nhà nước,,-,-,,,
II. Tiền gửi và vay các TCTD khác,I. Các khoản nợ chính phủ và Ngân hàng Nhà nước > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,V.11,9.030.301,8.517.244,,9030301.0,8517244.0
1 Tiền gửi của các TCTD khác,I. Các khoản nợ chính phủ và Ngân hàng Nhà nước > 1 Tiền gửi của các TCTD khác,1 Tiền gửi của các TCTD khác,,9.030.301,8.517 244,,9030301.0,
2 Vay các TCTD khác,2 Vay các TCTD khác,2 Vay các TCTD khác,,-,-,,,
III. Tiền gửi của khách hàng,2 Vay các TCTD khác > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,V.12,76.875.859,71.407.095,,76875859.0,71407095.0
IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,2 Vay các TCTD khác > IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,26.407,-,,26407.0,
"V. Vôn tài tro, Ủy thác đầu tư, cho vay TCTD chịu rủi ro","2 Vay các TCTD khác > V. Vôn tài tro, Ủy thác đầu tư, cho vay TCTD chịu rủi ro","V. Vôn tài tro, Ủy thác đầu tư, cho vay TCTD chịu rủi ro",V.13,16.658,22.240,,16658.0,22240.0
VI. Phát hành giấy tờ có giá,2 Vay các TCTD khác > VI. Phát hành giấy tờ có giá,VI. Phát hành giấy tờ có giá,V.14,3.166.906,1.996.755,,3166906.0,1996755.0
VII. Các khoản nợ khác,2 Vay các TCTD khác > VII. Các khoản nợ khác,VII. Các khoản nợ khác,V.15,2.046.721,2.190.352,,2046721.0,2190352.0
"1 Các khoản lãi, phí phải trả","2 Vay các TCTD khác > 1 Các khoản lãi, phí phải trả","1 Các khoản lãi, phí phải trả",,1.806.629,1 531 335,,1806629.0,
2. Thuế TNDN hoãn lại phải tra,2. Thuế TNDN hoãn lại phải tra,2. Thuế TNDN hoãn lại phải tra,,-,-,,,
3 Các khoản phải trả va công nợ khác,2. Thuế TNDN hoãn lại phải tra > 3 Các khoản phải trả va công nợ khác,3 Các khoản phải trả va công nợ khác,,240.092,659 017,,240092.0,
4 Dư phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng),4 Dư phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng),4 Dư phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng),,-,-,,,
TỔNG NỘ PHẢI TRÁ,4 Dư phòng rủi ro khác (DP cho công nợ tiềm ăn và cam kết ngoại bảng) > TỔNG NỘ PHẢI TRÁ,TỔNG NỘ PHẢI TRÁ,,91.162.852,84.133.686,,91162852.0,84133686.0
