row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,31/12/2023,01/01/2023,numeric__Thuyết minh,numeric__31/12/2023,numeric__01/01/2023
X. Tài sản cố định,X. Tài sản cố định,X. Tài sản cố định,,784.155,742.961,,784155.0,742961.0
1 Tài sản cố định hữu hình,1 Tài sản cố định hữu hình,1 Tài sản cố định hữu hình,V.08,170.141,164 735,,170141.0,
a Nguyên giá tài sản cố định,a Nguyên giá tài sản cố định,a Nguyên giá tài sản cố định,,362.018,381 375,,362018.0,
b Hao mon tài sản cố định,b Hao mon tài sản cố định,b Hao mon tài sản cố định,,(191 877),(216 640),,,
2 Tài sản cố định thuê tài chính,2 Tài sản cố định thuê tài chính,2 Tài sản cố định thuê tài chính,,-,-,,,
3. Tài sản cố định vô hình,2 Tài sản cố định thuê tài chính > 3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,V.9,614.014,578 226,,614014.0,
a Nguyên giá tài sản cố định,a Nguyên giá tài sản cố định,a Nguyên giá tài sản cố định,,734 971,678 765,,,
b Hao mon tài sản cố định,a Nguyên giá tài sản cố định > b Hao mon tài sản cố định,b Hao mon tài sản cố định,,(120.957),(100 539),,-120957.0,
XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,,-,-,,,
XII. Tài sản cố khác,XI. Bất động sản đầu tư > XII. Tài sản cố khác,XII. Tài sản cố khác,V.10,16.251.538,14.066.597,,16251538.0,14066597.0
1 Các khoản phải thu,1 Các khoản phải thu,1 Các khoản phải thu,,10 479.342,10 540 616,,,
"2 Các khoản lãi, phí phải thu","1 Các khoản phải thu > 2 Các khoản lãi, phí phải thu","2 Các khoản lãi, phí phải thu",,3.569.597,1 513.406,,3569597.0,
3 Tài sản thuế TNDN hoãn lai,3 Tài sản thuế TNDN hoãn lai,3 Tài sản thuế TNDN hoãn lai,,-,-,,,
4 Tài sản Có khác,4 Tài sản Có khác,4 Tài sản Có khác,,2.402 599,2 212.575,,,
5 Các khoản dự phòng rủi ro cho các tài sản Có nôi bảng khác,4 Tài sản Có khác > 5 Các khoản dự phòng rủi ro cho các tài sản Có nôi bảng khác,5 Các khoản dự phòng rủi ro cho các tài sản Có nôi bảng khác,,(200.000),(200 000),,-200000.0,
TỔNG TÀI SẢN CÓ,4 Tài sản Có khác > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,96.264.773,89.895.120,,96264773.0,89895120.0
