row_label_raw,row_label_full,Chỉ tiêu,31/12/2023,31/12/2022,numeric__31/12/2023,numeric__31/12/2022
Bao lãnh vay vốn,Bao lãnh vay vốn,Bao lãnh vay vốn,28 644,28.644,,28644.0
Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,4.438.665,10 526 850,4438665.0,
Cam kết bán ngoại tê,Cam kết bán ngoại tê,Cam kết bán ngoại tê,72 765,-,,
Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,4 365 900,10 526 850,,
Cam kết trong nghiệp vụ L/C,Cam kết giao dịch hoán đối > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,417.270,262 005,417270.0,
Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,417 270,262 005,,
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,2 871.193,3 582 868,,
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,177 373,296 985,,
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,417 431,467 134,,
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,23 051,76 795,,
Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,2 253 338,2 741 954,,
Các cam kết khác,Cam kết bảo lãnh khác > Các cam kết khác,Các cam kết khác,4.442.664,714 478,4442664.0,
Tổng cộng,Cam kết bảo lãnh khác > Tổng cộng,Tổng cộng,12.198.436,15.114.844,12198436.0,15114844.0
