row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 01 đến 03 tháng,Từ 03 đến 06 tháng,Từ 06 đến 12 tháng,Từ 1 đến 5 năm,Γrên 5 năm,Γổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 01 đến 03 tháng,numeric__Từ 03 đến 06 tháng,numeric__Từ 06 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Γrên 5 năm,numeric__Γổng
"Tiền mãt, vàng bạc, đá quý","Tiền mãt, vàng bạc, đá quý","Tiền mãt, vàng bạc, đá quý",-,384 031,-,-,-,-,-,-,384 031,,,,,,,,,
Tiền gọi tại ngân hàng Nha nước,Tiền gọi tại ngân hàng Nha nước,Tiền gọi tại ngân hàng Nha nước,-,-,3 749 729,-,-,-,-,-,3 749 729,,,,,,,,,
"Tiền, vàng gọn tại và cho vay các TCTD khác (*)","Tiền, vàng gọn tại và cho vay các TCTD khác (*)","Tiền, vàng gọn tại và cho vay các TCTD khác (*)",-,-,11 658 653,-,-,-,-,-,11 658 653,,,,,,,,,
C ac công cụ tài chính phải sinh và các tài sản tài chính khác (*),C ac công cụ tài chính phải sinh và các tài sản tài chính khác (*),C ac công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,5 540,59 236,115 899,42 698,-,-,223 373,,,,,,,,,
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),9 147 339,-,8 088 597,21 523 032,1 387 813,1 854 497,5 446 556,274 439,47 722 273,,,,,,,,,
Float động mua nợ,Float động mua nợ,Float động mua nợ,-,-,-,-,-,-,-,-,-,,,,,,,,,
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,1 649 999,350 166,249 680,342 730,4 613 469,4 678 082,11 884 126,,,,,,,,,
"Gop vốn, đầu tư dài han (*)","Gop vốn, đầu tư dài han (*)","Gop vốn, đầu tư dài han (*)",-,-,-,-,-,-,-,919 600,919 600,,,,,,,,,
T'ai san cố dinh và Bất động san đầu tư,T'ai san cố dinh và Bất động san đầu tư,T'ai san cố dinh và Bất động san đầu tư,-,-,-,-,-,-,-,742 961,742 961,,,,,,,,,
Tài sản Có khác (*),T'ai san cố dinh và Bất động san đầu tư > Tài sản Có khác (*),Tài sản Có khác (*),-,12 753.191,104 185,95 223,18 585,21 100,646,1.273 667,14 266 597,,,,,,,646.0,,
