row_label_raw,row_label_full,4.2. Phân tích du nợ theo thời gian,31/12/2023,01/01/2023,numeric__31/12/2023,numeric__01/01/2023
4.2. Phân tích du nợ theo thời gian,4.2. Phân tích du nợ theo thời gian,4.2. Phân tích du nợ theo thời gian,20 767.054,15.945.165,,15945165.0
Nợ ngắn han,Nợ ngắn han,Nợ ngắn han,21.059.422,16 597.448,21059422.0,
Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,13.517.783,15.179.660,13517783.0,15179660.0
Nợ dài han,Nợ dài han,Nợ dài han,,,,
Tổng cộng,Nợ dài han > Tổng cộng,Tổng cộng,55.344.259,47.722.273,55344259.0,47722273.0
4.3 Phân tích du nợ cho vay theo ngành,4.3 Phân tích du nợ cho vay theo ngành,4.3 Phân tích du nợ cho vay theo ngành,31/12/2023,01/01/2023,,
4.3 Phân tích du nợ cho vay theo ngành,4.3 Phân tích du nợ cho vay theo ngành > 4.3 Phân tích du nợ cho vay theo ngành,4.3 Phân tích du nợ cho vay theo ngành,312.596,393 440,312596.0,
"Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản",3 044.725,3.680 292,,
"Công nghiệp chế biến, chế tạo","Nông nghiệp, lâm nghiệp và thuỷ sản > Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",22 482.468,15.748.198,,15748198.0
Xây dựng,Xây dựng,Xây dựng,,,,
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác",3 492.150,1 072.292,,
Dịch vụ lưu trú và ăn uống,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Dịch vụ lưu trú và ăn uống",Dịch vụ lưu trú và ăn uống,719.091,425.432,719091.0,425432.0
Thông tin và truyền thông,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Thông tin và truyền thông",Thông tin và truyền thông,798.752,303.124,798752.0,303124.0
"Hoạt động tài chính, ngân hàng và bao hiểm","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Hoạt động tài chính, ngân hàng và bao hiểm","Hoạt động tài chính, ngân hàng và bao hiểm",100.000,631.293,100000.0,631293.0
Hoạt động hành chính và dịch vụ hỗ trợ,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Hoạt động hành chính và dịch vụ hỗ trợ",Hoạt động hành chính và dịch vụ hỗ trợ,1.474.320,1.366.542,1474320.0,1366542.0
Hoạt đông dịch vụ khác,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Hoạt đông dịch vụ khác",Hoạt đông dịch vụ khác,28.023,1.406 270,28023.0,
Các ngành khác,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Các ngành khác",Các ngành khác,3.975.051,798 657,3975051.0,
Cá nhân,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Cá nhân",Cá nhân,18.917.083,21 896.733,18917083.0,
Tổng cộng,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có đông cơ khác > Tổng cộng",Tổng cộng,55.344.259,47.722.273,55344259.0,47722273.0
