row_label_raw,row_label_full,CHỈ TI{{{U}}},Thuyết minh,Năm 2023,Năm 2022,numeric__Thuyết minh,numeric__Năm 2023,numeric__Năm 2022
LUU CHUY{{{E}}} TI{{{E}}}N T{{{I}}} HO{{{A}}}T Đ{{{O}}}NG T{{{A}}}I CI{{{I}}}N{I},LUU CHUY{{{E}}} TI{{{E}}}N T{{{I}}} HO{{{A}}}T Đ{{{O}}}NG T{{{A}}}I CI{{{I}}}N{I},LUU CHUY{{{E}}} TI{{{E}}}N T{{{I}}} HO{{{A}}}T Đ{{{O}}}NG T{{{A}}}I CI{{{I}}}N{I},,,,,,
01. fiscal vón có phần tử góp vốn và/ho{{{c}}}phát hành có phiếu,LUU CHUY{{{E}}} TI{{{E}}}N T{{{I}}} HO{{{A}}}T Đ{{{O}}}NG T{{{A}}}I CI{{{I}}}N{I} > 01. fiscal vón có phần tử góp vốn và/ho{{{c}}}phát hành có phiếu,01. fiscal vón có phần tử góp vốn và/ho{{{c}}}phát hành có phiếu,,-,1.500.000,,,1500000.0
02. Tiền thu tư phát hành giấy tờ có giá dài hạn đủ điều kiện tính vao vốn tư có và các khoản vốn vay dài hạn khác,02. Tiền thu tư phát hành giấy tờ có giá dài hạn đủ điều kiện tính vao vốn tư có và các khoản vốn vay dài hạn khác,02. Tiền thu tư phát hành giấy tờ có giá dài hạn đủ điều kiện tính vao vốn tư có và các khoản vốn vay dài hạn khác,,-,-,,,
03. Tiền chỉ thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vao vốn tự có và các khoản vốn vay dài hạn khác,03. Tiền chỉ thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vao vốn tự có và các khoản vốn vay dài hạn khác,03. Tiền chỉ thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vao vốn tự có và các khoản vốn vay dài hạn khác,,-,-,,,
"04. Có tức tra cho có đông, lợi nhuận đã chia","04. Có tức tra cho có đông, lợi nhuận đã chia","04. Có tức tra cho có đông, lợi nhuận đã chia",,-,-,,,
05. Tiền chỉ ra mua có phiếu quỹ,05. Tiền chỉ ra mua có phiếu quỹ,05. Tiền chỉ ra mua có phiếu quỹ,,-,-,,,
06. Tiền thu được do bán có phiếu quỹ,06. Tiền thu được do bán có phiếu quỹ,06. Tiền thu được do bán có phiếu quỹ,,-,-,,,
III. Lưu chuyển tiền từ hoạt động tài chính,06. Tiền thu được do bán có phiếu quỹ > III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,-,1.500.000,,,1500000.0
IV. Lưu chuyển tiền thuần trong kỳ,06. Tiền thu được do bán có phiếu quỹ > IV. Lưu chuyển tiền thuần trong kỳ,IV. Lưu chuyển tiền thuần trong kỳ,,(4.795.940),10.518.851,,-4795940.0,10518851.0
V. Tiền và các khoản tương đương tiền đầu kỳ,06. Tiền thu được do bán có phiếu quỹ > V. Tiền và các khoản tương đương tiền đầu kỳ,V. Tiền và các khoản tương đương tiền đầu kỳ,,15.792.413,5.273.562,,15792413.0,5273562.0
VI. Điều chỉnh của ảnh hưởng thay đổi tỷ giá,VI. Điều chỉnh của ảnh hưởng thay đổi tỷ giá,VI. Điều chỉnh của ảnh hưởng thay đổi tỷ giá,,-,-,,,
VII. Tiền và các khoản tương đương tiền cuối kỳ,VI. Điều chỉnh của ảnh hưởng thay đổi tỷ giá > VII. Tiền và các khoản tương đương tiền cuối kỳ,VII. Tiền và các khoản tương đương tiền cuối kỳ,VII.25,10.996.473,15.792.413,,10996473.0,15792413.0
