row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,24.077.219.646,18.566.811.127,,1.0,,24077219646.0,18566811127.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,24.077.219.646,18.566.811.127,,10.0,,24077219646.0,18566811127.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,14.945.287.023,11.511.790.867,,11.0,,14945287023.0,11511790867.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,9.131.932.623,7.055.020.260,,20.0,,9131932623.0,7055020260.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,99.750.915.635,88.318.365.833,,21.0,,99750915635.0,88318365833.0
7.,7.,7.,Chi phí tài chính,22,VI.4,156.523.884.018,25.124.367.976,,22.0,,156523884018.0,25124367976.0
,,,Trong đó: chi phí lãi vay,23,,26.458.003.132,16.585.283.662,,23.0,,26458003132.0,16585283662.0
8.,8.,8.,Chi phí bán hàng,25,,-,-,,25.0,,,
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.5,32.469.687.788,42.747.352.267,,26.0,,32469687788.0,42747352267.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,(80.110.723.548),27.501.665.850,,30.0,,-80110723548.0,27501665850.0
11.,11.,11.,Thu nhập khác,31,,277.052.532,1.751.483.150,,31.0,,277052532.0,1751483150.0
12.,12.,12.,Chi phí khác,32,,466.720.002,1.551.947.439,,32.0,,466720002.0,1551947439.0
13.,13.,13.,Lợi nhuận khác,40,,(189.667.470),199.535.711,,40.0,,-189667470.0,199535711.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,(80.300.391.018),27.701.201.561,,50.0,,-80300391018.0,27701201561.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,V.8,184.102.768,5.815.804.391,,51.0,,184102768.0,5815804391.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,(80.484.493.786),21.885.397.170,,60.0,,-80484493786.0,21885397170.0
