row_label_raw,row_label_full,Loai tài sản cố định,Số năm,numeric__Số năm
Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,25 – 50,
"Phương tiện vận tải, truyền dẫn","Nhà cửa vật kiến trúc > Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",06,6.0
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",02 - 03,
