row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,(80.300.391.018),27.701.201.561,-80300391018.0,27701201561.0
"Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:",2.014.059.620,1.347.736.696,2014059620.0,1347736696.0
- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,2.043.827.617,1.347.736.696,2043827617.0,1347736696.0
- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,(29.767.997),-,-29767997.0,
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,(78.286.331.398),29.048.938.257,-78286331398.0,29048938257.0
Thu nhập được miễn thuế,Thu nhập được miễn thuế,Thu nhập được miễn thuế,-,(40.034.800),,-40034800.0
Thu nhập tính thuế,Thu nhập tính thuế,Thu nhập tính thuế,-,29.008.903.457,,29008903457.0
Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,20%,0.2,0.2
Thuế thu nhập doanh nghiệp phải nộp,Thuế thu nhập doanh nghiệp phải nộp,Thuế thu nhập doanh nghiệp phải nộp,-,5.801.780.691,,5801780691.0
Điều chỉnh thuế thu nhập doanh nghiệp phải nộp của các năm trước,Điều chỉnh thuế thu nhập doanh nghiệp phải nộp của các năm trước,Điều chỉnh thuế thu nhập doanh nghiệp phải nộp của các năm trước,184.102.768,14.023.700,184102768.0,14023700.0
Tổng Thuế thu nhập doanh nghiệp còn phải nộp,Tổng Thuế thu nhập doanh nghiệp còn phải nộp,Tổng Thuế thu nhập doanh nghiệp còn phải nộp,184.102.768,5.815.804.391,184102768.0,5815804391.0
