row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ quyền biểu quyết thông qua công ty con cấp 1,numeric__Tên công ty,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ quyền biểu quyết thông qua công ty con cấp 1
I,I,I,Công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,,,,
1.,I > 1.,1.,Công ty Cổ phần Chế biến Thực phẩm xuất khẩu Miền Tây (ii),"KCN Cái Sơn Hàng Bàng, đường Hoàng Quốc Việt, KV4, phường An Bình, quận Ninh Kiều, thành phố Cần Thơ","Chế biến, xuất nhập khẩu nông sản","45,00%",,,,0.45
2.,I > 2.,2.,Công ty Cổ phần Hạt giống TSC,"1D Phạm Ngũ Lão, phường Thới Bình, quận Ninh Kiều, thành phố Cần Thơ",Kinh doanh hạt giống,"57,63%",,,,0.5763
3.,I > 3.,3.,Công ty Cổ phần FIT Consumer,"1D, Phạm Ngũ Lão, Phường Thới Bình, Quận Ninh Kiều, TP Cần Thơ",Kinh doanh hàng hóa tiêu dùng,"100,00%",,,,1.0
4.,I > 4.,4.,Công ty Cổ phần Giống Cây trồng Nông Tín,"276 Nguyễn Đình Chiều, phường Võ Thị Sáu, Quận 3, thành phố Hồ Chí Minh","Sản xuất, kinh doanh giống cây trồng","77,67%",,,,0.7767000000000001
5.,I > 5.,5.,Công ty Cổ phần Westfood Hậu Giang,"KCN Sông Hậu – Giai đoạn 1, xã Đông Phú, huyện Châu Thành, tỉnh Hậu Giang",Chế biến nông sản,"98,00%",,,,0.98
6.,I > 6.,6.,Công ty Cổ phần Nước khoáng Khánh Hòa,"Xã Diên Tân, huyện Diên Khánh, tỉnh Khánh Hòa","Sản xuất nước khoáng và các sản phẩm từ nước khoáng, kinh doanh dịch vụ","95,53%",,,,0.9553
II.,II.,II.,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,,,,
7.,II. > 7.,7.,"Công ty Liên doanh sản xuất kinh doanh, Xuất nhập khẩu Dược phẩm và Trang thiết bị y tế","Số 11, đường Lanexang, bản Hatsady, quận Chanthabory, Lào",Giới thiệu thuốc,"51,00%",,,,0.51
8.,II. > 8.,8.,Công ty TNHH MTV Dược phẩm VPC-Sài Gòn,"Số 150 đường 14 tháng 9, phường 5, thành phố Vĩnh Long, tỉnh Vĩnh Long","Kinh doanh dược phẩm, dụng cụ y tế","100,00%",,,,1.0
9.,II. > 9.,9.,Công ty Cổ phần Dược phẩm Benovas,"Số 276 Nguyễn Đình Chiều, phường Võ Thị Sáu, quận 3, thành phố Hồ Chí Minh","Kinh doanh dược phẩm, capsule các loại","99,98%",,,,0.9998
10.,II. > 10.,10.,Công ty Cổ phần Thiết bị Y tế Benovas,"Số 150 đường 14 tháng 9, phường 5, thành phố Vĩnh Long, tỉnh Vĩnh Long","Sản xuất và kinh doanh dụng cụ, trang thiết bị, y tế","100,00%",,,,1.0
11.,II. > 11.,11.,Công ty Cổ phần Thuốc ung thư Benovas,"Tầng 5, tòa nhà HACC1 Complex tại lô 2.6, đường Lê Văn Lương, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội","Sản xuất thuốc, hóa dược và dược liệu","84,00%",,,,0.84
III.,III.,III.,Công ty con của Công ty Cổ phần Đầu tư Bắt động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bắt động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bắt động sản F.I.T,Công ty con của Công ty Cổ phần Đầu tư Bắt động sản F.I.T,,,,
12.,III. > 12.,12.,Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Charlotte,"Tầng 5, tòa nhà HACC1 Complex tại lô 2.6, đường Lê Văn Lương, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê","98,71%",,,,0.9871
(ii),(ii),(ii),"Mặc dù tỷ lệ sở hữu và tỷ lệ quyền biểu quyết tại Đại hội đồng cổ đông của Công ty con cấp 1 tại Công ty con cấp 2 chỉ đạt 45,00% tuy nhiên Công ty vẫn là công ty mẹ do có quyền bỏ đa số phiếu tại các cuộc hợp của Hội đồng quản trị hoặc cấp quản lý tương đương.","Mặc dù tỷ lệ sở hữu và tỷ lệ quyền biểu quyết tại Đại hội đồng cổ đông của Công ty con cấp 1 tại Công ty con cấp 2 chỉ đạt 45,00% tuy nhiên Công ty vẫn là công ty mẹ do có quyền bỏ đa số phiếu tại các cuộc hợp của Hội đồng quản trị hoặc cấp quản lý tương đương.","Mặc dù tỷ lệ sở hữu và tỷ lệ quyền biểu quyết tại Đại hội đồng cổ đông của Công ty con cấp 1 tại Công ty con cấp 2 chỉ đạt 45,00% tuy nhiên Công ty vẫn là công ty mẹ do có quyền bỏ đa số phiếu tại các cuộc hợp của Hội đồng quản trị hoặc cấp quản lý tương đương.","Mặc dù tỷ lệ sở hữu và tỷ lệ quyền biểu quyết tại Đại hội đồng cổ đông của Công ty con cấp 1 tại Công ty con cấp 2 chỉ đạt 45,00% tuy nhiên Công ty vẫn là công ty mẹ do có quyền bỏ đa số phiếu tại các cuộc hợp của Hội đồng quản trị hoặc cấp quản lý tương đương.",,,,
