row_label_raw,row_label_full,Bên liên quan khác,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Thuốc Ung Thư Benovas,Công ty Cổ phần Thuốc Ung Thư Benovas,Công ty Cổ phần Thuốc Ung Thư Benovas,Công ty con cấp 2,
Công ty Cổ phần Westfood Hậu Giang,Công ty Cổ phần Westfood Hậu Giang,Công ty Cổ phần Westfood Hậu Giang,Công ty con cấp 2,
Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa,Công ty con cấp 2,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Charlotte,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Charlotte,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Charlotte,Công ty con cấp 2,
Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,Công ty Cổ phần FIT Cosmetics,"Công ty liên kết,Công ty có liên quan với thành viên HĐQT kiểm Phó TGD, thành viên BKS",
Công ty Cổ phần Cap Padaran Mũi Dinh,Công ty Cổ phần Cap Padaran Mũi Dinh,Công ty Cổ phần Cap Padaran Mũi Dinh,Công ty liên kết của công ty con (đến ngày 01/08/2023),
Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Có chung thành viên quản lý chủ chốtCổ đồng lớn của Tập đoàn,
Công ty Cổ phần Đầu tư JJK Holdings,Công ty Cổ phần Đầu tư JJK Holdings,Công ty Cổ phần Đầu tư JJK Holdings,"Công ty có liên quan với thành viên HĐQT, TGD và Phó TGD",
Công ty Cổ phần HHM Việt Nam,Công ty Cổ phần HHM Việt Nam,Công ty Cổ phần HHM Việt Nam,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần Tập đoàn Babylons,Công ty Cổ phần Tập đoàn Babylons,Công ty Cổ phần Tập đoàn Babylons,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần Đầu tư Babylons,Công ty Cổ phần Đầu tư Babylons,Công ty Cổ phần Đầu tư Babylons,Công ty có liên quan với thành viên HĐQT,
Công ty TNHH Babylons Land,Công ty TNHH Babylons Land,Công ty TNHH Babylons Land,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần Đầu tư bất động sản Thái Sơn,Công ty Cổ phần Đầu tư bất động sản Thái Sơn,Công ty Cổ phần Đầu tư bất động sản Thái Sơn,Công ty có liên quan với thành viên HĐQT,
Công ty TNHH Đầu tư và Phát triển Khang Điền Phú Quốc,Công ty TNHH Đầu tư và Phát triển Khang Điền Phú Quốc,Công ty TNHH Đầu tư và Phát triển Khang Điền Phú Quốc,Công ty có liên quan với thành viên HĐQT,
