row_label_raw,row_label_full,Phải thu các bên liên quan (Xem thuyết minh VII.1d),Số cuối năm > 9.629.494.887,Số đầu năm > 16.362.258.350,numeric__Số cuối năm > 9.629.494.887,numeric__Số đầu năm > 16.362.258.350
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,14.946.329,28.065.156.088,14946329.0,28065156088.0
Nguyễn Minh Huấn - Phải thu tiền chuyển nhượng chứng khoán kinh doanh (*),Nguyễn Minh Huấn - Phải thu tiền chuyển nhượng chứng khoán kinh doanh (*),Nguyễn Minh Huấn - Phải thu tiền chuyển nhượng chứng khoán kinh doanh (*),-,28.020.000.000,,28020000000.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,14.946.329,45.156.088,14946329.0,45156088.0
Cộng,Cộng,Cộng,9.644.441.216,44.427.414.438,9644441216.0,44427414438.0
