row_label_raw,row_label_full,Phải thu các bên liên quan (Xem thuyết minh VII.1d),Số cuối năm > Giá trị > 31.320.898.390,Số cuối năm > Dự phòng > -,Số đầu năm > Giá trị > 678.197.156.889,Số đầu năm > Dự phòng > -,numeric__Số cuối năm > Giá trị > 31.320.898.390,numeric__Số cuối năm > Dự phòng > -,numeric__Số đầu năm > Giá trị > 678.197.156.889,numeric__Số đầu năm > Dự phòng > -
Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,22.361.000.000,-,662.698.000.000,-,22361000000.0,,662698000000.0,
Phải thu lãi hợp tác đầu tư,Phải thu lãi hợp tác đầu tư,Phải thu lãi hợp tác đầu tư,7.223.946.295,-,14.150.153.489,-,7223946295.0,,14150153489.0,
Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,1.735.952.095,-,1.349.003.400,-,1735952095.0,,1349003400.0,
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,498.008.933.381,-,105.082.318.461,-,498008933381.0,,105082318461.0,
Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,Phải thu gốc hợp tác đầu tư,465.000.000.000,-,100.000.000.000,-,465000000000.0,,100000000000.0,
Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành (i),Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành (i),Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành (i),65.000.000.000,-,100.000.000.000,-,65000000000.0,,100000000000.0,
Lê Minh Anh (ii),Lê Minh Anh (ii),Lê Minh Anh (ii),200.000.000.000,-,-,-,200000000000.0,,,
Ngạc Văn Lượng (ii),Ngạc Văn Lượng (ii),Ngạc Văn Lượng (ii),200.000.000.000,-,-,-,200000000000.0,,,
Phải thu lãi hợp tác đầu tư,Phải thu lãi hợp tác đầu tư,Phải thu lãi hợp tác đầu tư,10.755.068.495,-,-,-,10755068495.0,,,
Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,Công ty Cổ phần Đầu tư và Khoáng sản Hợp Thành,5.089.315.070,-,-,-,5089315070.0,,,
Lê Minh Anh,Lê Minh Anh,Lê Minh Anh,4.641.095.891,-,-,-,4641095891.0,,,
Ngạc Văn Lượng,Ngạc Văn Lượng,Ngạc Văn Lượng,1.024.657.534,-,-,-,1024657534.0,,,
"Dự thu lãi tiền gửi có kỳ hạn, lãi trái phiếu","Dự thu lãi tiền gửi có kỳ hạn, lãi trái phiếu","Dự thu lãi tiền gửi có kỳ hạn, lãi trái phiếu",22.062.357.261,-,4.739.162.604,-,22062357261.0,,4739162604.0,
Tạm ứng phải thu cán bộ công nhân viên,Tạm ứng phải thu cán bộ công nhân viên,Tạm ứng phải thu cán bộ công nhân viên,93.407.625,-,245.841.788,-,93407625.0,,245841788.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",87.600.000,-,87.600.000,-,87600000.0,,87600000.0,
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,10.500.000,-,9.714.069,-,10500000.0,,9714069.0,
Cộng,Cộng,Cộng,529.329.831.771,-,783.279.475.350,-,529329831771.0,,783279475350.0,
