row_label_raw,row_label_full,col_0,Vay ngắn hạnngân hàng (*),Vay ngắn hạn cáctổ chức khác,Cộng,numeric__Vay ngắn hạnngân hàng (*),numeric__Vay ngắn hạn cáctổ chức khác,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,208.282.221.746,39.004.041.769,247.286.263.515,208282221746.0,39004041769.0,247286263515.0
Số tiền vay trong năm,Số tiền vay trong năm,Số tiền vay trong năm,2.543.016.584.121,-,2.543.016.584.121,2543016584121.0,,2543016584121.0
Số tiền trả trong năm,Số tiền trả trong năm,Số tiền trả trong năm,(2.331.307.464.795),(39.004.041.769),(2.370.311.506.564),-2331307464795.0,-39004041769.0,-2370311506564.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,419.991.341.072,-,419.991.341.072,419991341072.0,,419991341072.0
