row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",234.784,1.263.007,202.144,502.893,2.202.828,234784.0,1263007.0,202144.0,502893.0,2202828.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,1.919.937,-,262.164,2.182.101,,1919937.0,,262164.0,2182101.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,46.759,3.281.948,-,2.563.754,5.892.461,46759.0,3281948.0,,2563754.0,5892461.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,7.097,12.474.941,570.924,2.376.327,15.429.289,7097.0,12474941.0,570924.0,2376327.0,15429289.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,-,303.915,-,-,303.915,,303915.0,,,303915.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,578,-,-,578,,578.0,,,578.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,42.852,-,208.464,251.316,,42852.0,,208464.0,251316.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,6.224,2.570.145,14,86.193,2.662.576,6224.0,2570145.0,14.0,86193.0,2662576.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,294.864,21.857.323,773.082,5.999.795,28.925.064,294864.0,21857323.0,773082.0,5999795.0,28925064.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,2.421,4.690.402,-,41.837,4.734.660,2421.0,4690402.0,,41837.0,4734660.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,178.648,13.414.025,-,2.172.939,15.765.612,178648.0,13414025.0,,2172939.0,15765612.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,229.445,229.445,,,,229445.0,229445.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,65.288,2.826.040,-,1.992.779,4.884.107,65288.0,2826040.0,,1992779.0,4884107.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5,-,-,5,,5.0,,,5.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,28.769,417.473,-,77.109,523.351,28769.0,417473.0,,77109.0,523351.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,275.126,21.347.945,-,4.514.109,26.137.180,275126.0,21347945.0,,4514109.0,26137180.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,19.738,509.378,773.082,1.485.686,2.787.884,19738.0,509378.0,773082.0,1485686.0,2787884.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(19.302),349.268,(156.736),(331.049),(157.819),-19302.0,349268.0,-156736.0,-331049.0,-157819.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",436,858.646,616.346,1.154.637,2.630.065,436.0,858646.0,616346.0,1154637.0,2630065.0
