row_label_raw,row_label_full,col_0,Khách hàngcá nhânvà doanh nghiệpTriệu đồng,Đầu tưTriệu đồng,Hoạt độngliên ngân hàngTriệu đồng,Hoạt động chungkhông phân bổTriệu đồng,Tổng cộngTriệu đồng,numeric__Khách hàngcá nhânvà doanh nghiệpTriệu đồng,numeric__Đầu tưTriệu đồng,numeric__Hoạt độngliên ngân hàngTriệu đồng,numeric__Hoạt động chungkhông phân bổTriệu đồng,numeric__Tổng cộngTriệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
"Tiền mặt, vàng bạc và đá quý","TÀI SẢN > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,-,-,7.678.553,7.678.553,,,,7678553.0,7678553.0
Tiền gửi tại NHNN,TÀI SẢN > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,10.052.590,-,10.052.590,,,10052590.0,,10052590.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,18.397.370,-,18.397.370,,,18397370.0,,18397370.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,-,-,19.677,-,19.677,,,19677.0,,19677.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,334.854.576,-,-,-,334.854.576,334854576.0,,,,334854576.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,301.515,-,-,-,301.515,301515.0,,,,301515.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,-,75.156.127,-,-,75.156.127,,75156127.0,,,75156127.0
"Gớp vốn, đầu tư dài hạn","TÀI SẢN > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",-,124.593,-,-,124.593,,124593.0,,,124593.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,-,-,-,8.575.424,8.575.424,,,,8575424.0,8575424.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,30.536.842,1.925.589,34.049,4.859.124,37.355.604,30536842.0,1925589.0,34049.0,4859124.0,37355604.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,365.692.933,77.206.309,28.503.686,21.113.101,492.516.029,365692933.0,77206309.0,28503686.0,21113101.0,492516029.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,
Các khoản nợ NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,143.528,-,143.528,,,143528.0,,143528.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,7.880.006,-,7.880.006,,,7880006.0,,7880006.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,427.971.850,-,-,-,427.971.850,427971850.0,,,,427971850.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,229.445,-,229.445,,,229445.0,,229445.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,11.144.140,-,-,-,11.144.140,11144140.0,,,,11144140.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,12.748.873,-,736.308,2.705.637,16.190.818,12748873.0,,736308.0,2705637.0,16190818.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,451.864.863,-,8.989.287,2.705.637,463.559.787,451864863.0,,8989287.0,2705637.0,463559787.0
