row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.446.524,1.230.582,604,4.677.710,3446524.0,1230582.0,604.0,4677710.0
Tăng do nâng cấp và mua mới,Nguyên giá > Tăng do nâng cấp và mua mới,Tăng do nâng cấp và mua mới,47.990,12.905,8,60.903,47990.0,12905.0,8.0,60903.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,40.039,369.214,-,409.253,40039.0,369214.0,,409253.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(45.863),(135),-,(45.998),-45863.0,-135.0,,-45998.0
Chênh lệch quy đổi tỷ giá,Nguyên giá > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,(2.853),(1.261),-,(4.114),-2853.0,-1261.0,,-4114.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.485.837,1.611.305,612,5.097.754,3485837.0,1611305.0,612.0,5097754.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,223.880,860.745,504,1.085.129,223880.0,860745.0,504.0,1085129.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,29.030,156.001,25,185.056,29030.0,156001.0,25.0,185056.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(135),-,(135),,-135.0,,-135.0
Chênh lệch quy đổi tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,-,(1.236),-,(1.236),,-1236.0,,-1236.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,252.910,1.015.375,529,1.268.814,252910.0,1015375.0,529.0,1268814.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.222.644,369.837,100,3.592.581,3222644.0,369837.0,100.0,3592581.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.232.927,595.930,83,3.828.940,3232927.0,595930.0,83.0,3828940.0
