row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchiu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchiu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Khôngchiu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 6thángTriệu đồng,Từ 6 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,7.678.553,-,-,-,-,-,-,7.678.553,,7678553.0,,,,,,,7678553.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,339.929,9.712.661,-,-,-,-,-,10.052.590,,339929.0,9712661.0,,,,,,10052590.0
Tiền gửi tại và cho vaycác TCTD khác,Tài sản > Tiền gửi tại và cho vaycác TCTD khác,Tiền gửi tại và cho vaycác TCTD khác,-,-,17.659.157,381.054,248.343,108.816,-,-,18.397.370,,,17659157.0,381054.0,248343.0,108816.0,,,18397370.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,19.677,-,-,-,-,-,-,19.677,,19677.0,,,,,,,19677.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,6.567.622,-,119.187.286,200.147.527,1.142.818,1.417.186,5.079.635,6.726.053,340.268.127,6567622.0,,119187286.0,200147527.0,1142818.0,1417186.0,5079635.0,6726053.0,340268127.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,303.915,-,-,-,-,303.915,,,,303915.0,,,,,303915.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,27.513.593,100.036,3.419.318,7.459.451,6.406.810,24.477.659,10.172.944,79.549.811,,27513593.0,100036.0,3419318.0,7459451.0,6406810.0,24477659.0,10172944.0,79549811.0
"Gớp vốn, đầu tư dài hạn - gộp","Tài sản > Gớp vốn, đầu tư dài hạn - gộp","Gớp vốn, đầu tư dài hạn - gộp",-,257.764,-,-,-,-,-,-,257.764,,257764.0,,,,,,,257764.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,8.575.424,-,-,-,-,-,-,8.575.424,,8575424.0,,,,,,,8575424.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,2.085.883,38.352.828,-,-,-,-,-,-,40.438.711,2085883.0,38352828.0,,,,,,,40438711.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,8.653.505,82.737.768,146.659.140,204.251.814,8.850.612,7.932.812,29.557.294,16.898.997,505.541.942,8653505.0,82737768.0,146659140.0,204251814.0,8850612.0,7932812.0,29557294.0,16898997.0,505541942.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
