row_label_raw,row_label_full,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (a),Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
- Bằng VND,- Bằng VND,- Bằng VND,7.870.489,10.077.297,7870489.0,10077297.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,690.452,939.332,690452.0,939332.0
Tiền gửi tại Ngân hàng Trung ương Lào (b),Tiền gửi tại Ngân hàng Trung ương Lào (b),Tiền gửi tại Ngân hàng Trung ương Lào (b),339.928,339.172,339928.0,339172.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (c),Tiền gửi tại Ngân hàng Quốc gia Campuchia (c),Tiền gửi tại Ngân hàng Quốc gia Campuchia (c),1.151.721,754.060,1151721.0,754060.0
,,,10.052.590,12.109.861,10052590.0,12109861.0
