row_label_raw,row_label_full,col_0,Dư phòngcụ thểTriệu đồng,Dư phòngchungTriệu đồng,Tổng cộngTriệu đồng,numeric__Dư phòngcụ thểTriệu đồng,numeric__Dư phòngchungTriệu đồng,numeric__Tổng cộngTriệu đồng
Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,1.676.964,1.845.678,3.522.642,1676964.0,1845678.0,3522642.0
Số trích lập dự phòng trong năm,Số trích lập dự phòng trong năm,Số trích lập dự phòng trong năm,299.571,310.113,609.684,299571.0,310113.0,609684.0
Số dự phòng đã sử dụng để xử lý rủi rotrong năm,Số dự phòng đã sử dụng để xử lý rủi rotrong năm,Số dự phòng đã sử dụng để xử lý rủi rotrong năm,(166.046),-,(166.046),-166046.0,,-166046.0
Tăng khác,Tăng khác,Tăng khác,-,5.904,5.904,,5904.0,5904.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,(672),(453),(1.125),-672.0,-453.0,-1125.0
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,1.809.817,2.161.242,3.971.059,1809817.0,2161242.0,3971059.0
