row_label_raw,row_label_full,col_0,Số cuối năm%/năm,Số đầu năm%/năm,numeric__Số cuối năm%/năm,numeric__Số đầu năm%/năm
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,"0,00 - 0,20","0,00 - 1,00",,
Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND > Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi tiết kiệm không kỳ hạn bằng VND,"0,10 - 0,30","0,30",,0.3
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,"0,00 - 1,89","0,00 - 1,89",,
Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ > Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,"0,00","0,00",0.0,0.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"0,05 - 9,00","0,80 - 9,00",,
Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,"0,10 - 12,00","0,30 - 12,00",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"0,00 - 9,63","0,00 - 9,63",,
Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,"0,00 - 1,50","0,00 - 1,50",,
