row_label_raw,row_label_full,col_0,Bàng cân đối kế toán hợp nhất,Bàng cân đối kế toán hợp nhất_1,Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất,Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cân đối kế toán hợp nhất,numeric__Bàng cân đối kế toán hợp nhất_1,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,Năm nay Triệu đồng,Năm trước Triệu đồng,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,,,,,
Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,Tài sản thuế TNDN hoãn lại > Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,359.697,85.301,274.396,29.661,359697.0,85301.0,274396.0,29661.0
Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Tài sản thuế TNDN hoãn lại > Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,74.678,66.532,8.146,66.532,74678.0,66532.0,8146.0,66532.0
Chênh lệch dự phòng của công ty con,Tài sản thuế TNDN hoãn lại > Chênh lệch dự phòng của công ty con,Chênh lệch dự phòng của công ty con,9.130,7.980,1.150,518,9130.0,7980.0,1150.0,518.0
Chi phí khấu hao,Tài sản thuế TNDN hoãn lại > Chi phí khấu hao,Chi phí khấu hao,6.949,-,6.949,-,6949.0,,6949.0,
,,,450.454,159.813,290.641,96.711,450454.0,159813.0,290641.0,96711.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,,,,,
Chênh lệch chi phí khấu hao của công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch chi phí khấu hao của công ty con,Chênh lệch chi phí khấu hao của công ty con,(678),(681),3,-,-678.0,-681.0,3.0,
Lỗ lũy kế công ty con,Thuế TNDN hoãn lại phải trả > Lỗ lũy kế công ty con,Lỗ lũy kế công ty con,(24.865),(24.781),(84),-,-24865.0,-24781.0,-84.0,
,,,(25.543),(25.462),(81),-,-25543.0,-25462.0,-81.0,
Điều chỉnh năm trước,Thuế TNDN hoãn lại phải trả > Điều chỉnh năm trước,Điều chỉnh năm trước,,,9.562,65.972,,,9562.0,65972.0
Ảnh hưởng quy đổi tỷ giá,Thuế TNDN hoãn lại phải trả > Ảnh hưởng quy đổi tỷ giá,Ảnh hưởng quy đổi tỷ giá,,,(263),1.079,,,-263.0,1079.0
Thu nhập thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động kinh doanh hợp nhất,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,281.261,29.660,,,281261.0,29660.0
