row_label_raw,row_label_full,col_0,Số phải thu đầu kỳ,Số phải nộp đầu kỳ,Số phải nộp trong kỳ,Số đã thực nộp trong kỳ,Số phải thu cuối kỳ,Số phải nộp cuối kỳ,numeric__Số phải thu đầu kỳ,numeric__Số phải nộp đầu kỳ,numeric__Số phải nộp trong kỳ,numeric__Số đã thực nộp trong kỳ,numeric__Số phải thu cuối kỳ,numeric__Số phải nộp cuối kỳ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,100.357.843,3.721.221.123,7.717.868.475,8.562.166.328,100.357.843,2.876.923.270,100357843.0,3721221123.0,7717868475.0,8562166328.0,100357843.0,2876923270.0
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,3.761.761.820,-,-,-,3.761.761.820,-,3761761820.0,,,,3761761820.0,
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,132.964.078,37.349.908,94.896.600,118.653.497,140.281.990,20.910.923,132964078.0,37349908.0,94896600.0,118653497.0,140281990.0,20910923.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,5.905.590,34.487.810,27.016.070,-,13.377.330,,5905590.0,34487810.0,27016070.0,,13377330.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,3.654.891.223,3.704.978.492,7.360.744.779,875.064,-,,3654891223.0,3704978492.0,7360744779.0,875064.0,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,11.191.795,11.054.395,-,137.400,,,11191795.0,11054395.0,,137400.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,2.434.594,11.071.786,13.506.380,-,-,,2434594.0,11071786.0,13506380.0,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,-,23.036.233,23.036.233,-,-,,,23036233.0,23036233.0,,
,,,3.995.083.741,7.421.802.438,11.597.531.191,16.116.177.682,4.003.276.717,2.911.348.923,3995083741.0,7421802438.0,11597531191.0,16116177682.0,4003276717.0,2911348923.0
