row_label_raw,row_label_full,col_0,Từ ngày 09/10/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 08/10/2018,numeric__Từ ngày 09/10/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 08/10/2018
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",2.467.002.841,3.864.302.165,2467002841.0,3864302165.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,19.805.678.655,76.270.671.332,19805678655.0,76270671332.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,6.066.181.130,12.099.645.736,6066181130.0,12099645736.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",2.557.456.682,10.567.446.149,2557456682.0,10567446149.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,1.317.711.611.904,400.829.371,1317711611904.0,400829371.0
+ Trong đó: Chi phí dự phòng tài sản thiếu chờ xử lý (*),+ Trong đó: Chi phí dự phòng tài sản thiếu chờ xử lý (*),+ Trong đó: Chi phí dự phòng tài sản thiếu chờ xử lý (*),661.975.531.134,-,661975531134.0,
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,4.133.861.470,14.940.785.045,4133861470.0,14940785045.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,13.284.559.703,33.927.227.760,13284559703.0,33927227760.0
,,,1.366.026.352.385,152.070.907.558,1366026352385.0,152070907558.0
