row_label_raw,row_label_full,col_0,Giá trị sổ kế toán > 31/12/2018,Giá trị sổ kế toán > 09/10/2018,numeric__Giá trị sổ kế toán > 31/12/2018,numeric__Giá trị sổ kế toán > 09/10/2018
,,,VND,VND,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,2.390.623.396.453,2.696.596.935.398,2390623396453.0,2696596935398.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.017.194.342.877,903.436.241.220,1017194342877.0,903436241220.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,13.960.096.111,17.461.237.149,13960096111.0,17461237149.0
,,,3.421.777.835.441,3.617.494.413.767,3421777835441.0,3617494413767.0
