row_label_raw,row_label_full,col_0,Từ ngày 09/10/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 08/10/2018,numeric__Từ ngày 09/10/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 08/10/2018
,,,VND,VND,,
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,(1.836.263.439.730),64.190.584.759,-1836263439730.0,64190584759.0
- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,509.541.312.432,115.890.590.917,509541312432.0,115890590917.0
- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,-,(54.380.882.300),,-54380882300.0
Thu nhập tính thuế TNDN,Thu nhập tính thuế TNDN,Thu nhập tính thuế TNDN,(1.326.722.127.298),125.700.293.376,-1326722127298.0,125700293376.0
Chuyển lỗ kỳ trước,Chuyển lỗ kỳ trước,Chuyển lỗ kỳ trước,-,(125.700.293.376),,-125700293376.0
Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,(1.326.722.127.298),-,-1326722127298.0,
Điều chỉnh thuế thu nhập doanh nghiệp của các kỳ trước vàochi phí thuế thu nhập doanh nghiệp kỳ này,Điều chỉnh thuế thu nhập doanh nghiệp của các kỳ trước vàochi phí thuế thu nhập doanh nghiệp kỳ này,Điều chỉnh thuế thu nhập doanh nghiệp của các kỳ trước vàochi phí thuế thu nhập doanh nghiệp kỳ này,-,82.890.819,,82890819.0
Chi phí thuế thu nhập doanh nghiệp hiện hành (thuế suất 20%),Chi phí thuế thu nhập doanh nghiệp hiện hành (thuế suất 20%),Chi phí thuế thu nhập doanh nghiệp hiện hành (thuế suất 20%),-,82.890.819,,82890819.0
Thuế thu nhập doanh nghiệp phải nộp đầu kỳ,Thuế thu nhập doanh nghiệp phải nộp đầu kỳ,Thuế thu nhập doanh nghiệp phải nộp đầu kỳ,(3.761.761.820),(3.761.761.820),-3761761820.0,-3761761820.0
Thuế thu nhập doanh nghiệp đã nộp trong kỳ,Thuế thu nhập doanh nghiệp đã nộp trong kỳ,Thuế thu nhập doanh nghiệp đã nộp trong kỳ,-,(82.890.819),,-82890819.0
Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh,Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh,Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh,(3.761.761.820),(3.761.761.820),-3761761820.0,-3761761820.0
