row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Nhà,Cộng,numeric__Quyền sử dụng đất,numeric__Nhà,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,14.831.868.000,16.470.761.053,31.302.629.053,14831868000.0,16470761053.0,31302629053.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,14.831.868.000,16.470.761.053,31.302.629.053,14831868000.0,16470761053.0,31302629053.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,-,7.994.788.364,7.994.788.364,,7994788364.0,7994788364.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,-,185.604.981,185.604.981,,185604981.0,185604981.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,-,8.180.393.345,8.180.393.345,,8180393345.0,8180393345.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,14.831.868.000,8.475.972.689,23.307.840.689,14831868000.0,8475972689.0,23307840689.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,14.831.868.000,8.290.367.708,23.122.235.708,14831868000.0,8290367708.0,23122235708.0
