row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,182.188.936.368,6.459.154.866,101.181.110,188.749.272.344,182188936368.0,6459154866.0,101181110.0,188749272344.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,182.188.936.368,6.459.154.866,101.181.110,188.749.272.344,182188936368.0,6459154866.0,101181110.0,188749272344.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,18.098.193.396,5.842.213.107,101.181.110,24.041.587.613,18098193396.0,5842213107.0,101181110.0,24041587613.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,457.046.459,62.005.417,-,519.051.876,457046459.0,62005417.0,,519051876.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,18.555.239.855,5.904.218.524,101.181.110,24.560.639.489,18555239855.0,5904218524.0,101181110.0,24560639489.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,164.090.742.972,616.941.759,-,164.707.684.731,164090742972.0,616941759.0,,164707684731.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,163.633.696.513,554.936.342,-,164.188.632.855,163633696513.0,554936342.0,,164188632855.0
