row_label_raw,row_label_full,col_0,Từ ngày 09/10/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 08/10/2018,numeric__Từ ngày 09/10/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 08/10/2018
,,,VND,VND,,
"Thu nhập từ nhượng bán, thanh lý tài sản cố định","Thu nhập từ nhượng bán, thanh lý tài sản cố định","Thu nhập từ nhượng bán, thanh lý tài sản cố định",117.110.455,-,117110455.0,
Thu nhập từ tiền thường giải phóng tàu nhanh,Thu nhập từ tiền thường giải phóng tàu nhanh,Thu nhập từ tiền thường giải phóng tàu nhanh,76.021.136,761.549.083,76021136.0,761549083.0
Thu nhập từ thù lao của người đại diện vốn,Thu nhập từ thù lao của người đại diện vốn,Thu nhập từ thù lao của người đại diện vốn,132.500.000,586.000.000,132500000.0,586000000.0
Thu nhập từ tiền bồi thường tổn thất hàng hóa,Thu nhập từ tiền bồi thường tổn thất hàng hóa,Thu nhập từ tiền bồi thường tổn thất hàng hóa,221.711.301,882.624.277,221711301.0,882624277.0
Thu nhập từ bảo lãnh các đơn vị khác vay vốn ngân hàng,Thu nhập từ bảo lãnh các đơn vị khác vay vốn ngân hàng,Thu nhập từ bảo lãnh các đơn vị khác vay vốn ngân hàng,-,1.726.027.396,,1726027396.0
"Thường chỉ tiêu sản lượng, hỗ trợ bán hàng của khách hàng","Thường chỉ tiêu sản lượng, hỗ trợ bán hàng của khách hàng","Thường chỉ tiêu sản lượng, hỗ trợ bán hàng của khách hàng",661.944.743,1.467.487.582,661944743.0,1467487582.0
Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,110.628.183,637.045.452,110628183.0,637045452.0
"Thu nhập từ thanh lý bao phế thải, phế liệu, CCDC","Thu nhập từ thanh lý bao phế thải, phế liệu, CCDC","Thu nhập từ thanh lý bao phế thải, phế liệu, CCDC",320.470.000,324.737.080,320470000.0,324737080.0
Thu nhập từ tiền thường đạt doanh số,Thu nhập từ tiền thường đạt doanh số,Thu nhập từ tiền thường đạt doanh số,-,1.075.768.037,,1075768037.0
Thu nhập từ xử lý tài sản thừa trong kiểm kê,Thu nhập từ xử lý tài sản thừa trong kiểm kê,Thu nhập từ xử lý tài sản thừa trong kiểm kê,391.421.304,1.199.979.418,391421304.0,1199979418.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,972.367.605,1.846.898.495,972367605.0,1846898495.0
,,,3.004.174.727,10.508.116.820,3004174727.0,10508116820.0
