row_label_raw,row_label_full,col_0,31/12/2018 > Giá trịVND,31/12/2018 > Số có khả năng trả nợVND,09/10/2018 > Giá trịVND,09/10/2018 > Số có khả năng trả nợVND,numeric__31/12/2018 > Giá trịVND,numeric__31/12/2018 > Số có khả năng trả nợVND,numeric__09/10/2018 > Giá trịVND,numeric__09/10/2018 > Số có khả năng trả nợVND
a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,,,,
- Chi nhánh Công ty CP Sữa Việt Nam tại Cần Thơ,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Chi nhánh Công ty CP Sữa Việt Nam tại Cần Thơ,- Chi nhánh Công ty CP Sữa Việt Nam tại Cần Thơ,45.908.630.598,45.908.630.598,32.010.727.628,32.010.727.628,45908630598.0,45908630598.0,32010727628.0,32010727628.0
- Golden Orient Ship Management & Agencies Inc,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Golden Orient Ship Management & Agencies Inc,- Golden Orient Ship Management & Agencies Inc,18.313.860.226,18.313.860.226,74.296.698,74.296.698,18313860226.0,18313860226.0,74296698.0,74296698.0
- Công ty CP Dịch vụ Hàng hải Vosco,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty CP Dịch vụ Hàng hải Vosco,- Công ty CP Dịch vụ Hàng hải Vosco,30.330.208.885,30.330.208.885,-,-,30330208885.0,30330208885.0,,
- Công ty TNHH Đa Năng,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Đa Năng,- Công ty TNHH Đa Năng,46.429.868.000,46.429.868.000,56.366.475.000,56.366.475.000,46429868000.0,46429868000.0,56366475000.0,56366475000.0
- Công ty CP Xuất nhập khẩu Kiên Giang,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty CP Xuất nhập khẩu Kiên Giang,- Công ty CP Xuất nhập khẩu Kiên Giang,68.312.187.664,68.312.187.664,17.713.628.023,17.713.628.023,68312187664.0,68312187664.0,17713628023.0,17713628023.0
- Công ty CP Sài Gòn Thiên Kim,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty CP Sài Gòn Thiên Kim,- Công ty CP Sài Gòn Thiên Kim,8.421.217.350,8.421.217.350,11.459.250.000,11.459.250.000,8421217350.0,8421217350.0,11459250000.0,11459250000.0
- Công ty TNHH Thịnh Phát,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Thịnh Phát,- Công ty TNHH Thịnh Phát,7.600.754.150,7.600.754.150,1.126.756.157,1.126.756.157,7600754150.0,7600754150.0,1126756157.0,1126756157.0
- Phải trả các đối tượng khác,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Phải trả các đối tượng khác,- Phải trả các đối tượng khác,86.759.575.459,86.759.575.459,71.597.594.441,71.597.594.441,86759575459.0,86759575459.0,71597594441.0,71597594441.0
,,,312.076.302.332,312.076.302.332,190.348.727.947,190.348.727.947,312076302332.0,312076302332.0,190348727947.0,190348727947.0
b) Phải trả người bán là các bên liên quan(Xem thông tin chỉ tiết tai Thuyết minh 40),a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > b) Phải trả người bán là các bên liên quan(Xem thông tin chỉ tiết tai Thuyết minh 40),b) Phải trả người bán là các bên liên quan(Xem thông tin chỉ tiết tai Thuyết minh 40),72.755.326.451,72.755.326.451,22.055.316.775,22.055.316.775,72755326451.0,72755326451.0,22055316775.0,22055316775.0
