row_label_raw,row_label_full,col_0,09/10/2018 > Giá trị,09/10/2018 > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả nợ,numeric__09/10/2018 > Giá trị,numeric__09/10/2018 > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),a) Vay ngắn hạn (tiếp theo),,,,,,
- Vay và nợ dài hạn đến hạn trả,a) Vay ngắn hạn (tiếp theo) > - Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,31.996.380.700,31.996.380.700,1.952.575.250,12.510.575.250,21.438.380.700,21.438.380.700,31996380700.0,31996380700.0,1952575250.0,12510575250.0,21438380700.0,21438380700.0
Ngân hàng TMCP An Bình - CN An Giang(8),a) Vay ngắn hạn (tiếp theo) > Ngân hàng TMCP An Bình - CN An Giang(8),Ngân hàng TMCP An Bình - CN An Giang(8),1.948.908.000,1.948.908.000,-,425.000.000,1.523.908.000,1.523.908.000,1948908000.0,1948908000.0,,425000000.0,1523908000.0,1523908000.0
Ngân hàng TMCP Phát triển TP. Hồ Chí Minh(9),a) Vay ngắn hạn (tiếp theo) > Ngân hàng TMCP Phát triển TP. Hồ Chí Minh(9),Ngân hàng TMCP Phát triển TP. Hồ Chí Minh(9),1.766.301.000,1.766.301.000,216.575.250,216.575.250,1.766.301.000,1.766.301.000,1766301000.0,1766301000.0,216575250.0,216575250.0,1766301000.0,1766301000.0
Ngân hàng TMCP Ngoại thương Việt Nam - CN Đồng Tháp(10),a) Vay ngắn hạn (tiếp theo) > Ngân hàng TMCP Ngoại thương Việt Nam - CN Đồng Tháp(10),Ngân hàng TMCP Ngoại thương Việt Nam - CN Đồng Tháp(10),4.522.000.000,4.522.000.000,1.436.000.000,1.594.000.000,4.364.000.000,4.364.000.000,4522000000.0,4522000000.0,1436000000.0,1594000000.0,4364000000.0,4364000000.0
Ngân hàng TMCP Đầu tư & Phát triển Việt Nam - CN Đồng Tháp(11),a) Vay ngắn hạn (tiếp theo) > Ngân hàng TMCP Đầu tư & Phát triển Việt Nam - CN Đồng Tháp(11),Ngân hàng TMCP Đầu tư & Phát triển Việt Nam - CN Đồng Tháp(11),530.000.000,530.000.000,290.000.000,265.000.000,555.000.000,555.000.000,530000000.0,530000000.0,290000000.0,265000000.0,555000000.0,555000000.0
Ngân hàng TMCP Bưu Điện Liên Việt - CN Vĩnh Long(12),a) Vay ngắn hạn (tiếp theo) > Ngân hàng TMCP Bưu Điện Liên Việt - CN Vĩnh Long(12),Ngân hàng TMCP Bưu Điện Liên Việt - CN Vĩnh Long(12),2.729.171.700,2.729.171.700,10.000.000,10.000.000,2.729.171.700,2.729.171.700,2729171700.0,2729171700.0,10000000.0,10000000.0,2729171700.0,2729171700.0
Ngân hàng TMCP Việt Nam Thương Tín - Chi nhánh TP Hồ Chí Minh(13),a) Vay ngắn hạn (tiếp theo) > Ngân hàng TMCP Việt Nam Thương Tín - Chi nhánh TP Hồ Chí Minh(13),Ngân hàng TMCP Việt Nam Thương Tín - Chi nhánh TP Hồ Chí Minh(13),20.000.000.000,20.000.000.000,-,10.000.000.000,10.000.000.000,10.000.000.000,20000000000.0,20000000000.0,,10000000000.0,10000000000.0,10000000000.0
Quỹ Phát triển Khoa học và Công nghệ Tĩnh Bến Tre(14),a) Vay ngắn hạn (tiếp theo) > Quỹ Phát triển Khoa học và Công nghệ Tĩnh Bến Tre(14),Quỹ Phát triển Khoa học và Công nghệ Tĩnh Bến Tre(14),500.000.000,500.000.000,-,-,500.000.000,500.000.000,500000000.0,500000000.0,,,500000000.0,500000000.0
,,,2.666.408.519.807,2.666.408.519.807,1.361.774.899.008,1.665.171.885.703,2.363.011.533.112,2.363.011.533.112,2666408519807.0,2666408519807.0,1361774899008.0,1665171885703.0,2363011533112.0,2363011533112.0
