row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,
Vay và nợ,Tại ngày 31/12/2018 > Vay và nợ,Vay và nợ,2.363.011.533.112,27.611.863.341,-,2.390.623.396.453,2363011533112.0,27611863341.0,,2390623396453.0
"Phải trả người bán,phải trả khác","Tại ngày 31/12/2018 > Phải trả người bán,phải trả khác","Phải trả người bán,phải trả khác",420.609.761.061,596.584.581.816,-,1.017.194.342.877,420609761061.0,596584581816.0,,1017194342877.0
Chi phí phải trả,Tại ngày 31/12/2018 > Chi phí phải trả,Chi phí phải trả,13.960.096.111,-,-,13.960.096.111,13960096111.0,,,13960096111.0
,,,2.797.581.390.284,624.196.445.157,-,3.421.777.835.441,2797581390284.0,624196445157.0,,3421777835441.0
Tại ngày 09/10/2018,Tại ngày 09/10/2018,Tại ngày 09/10/2018,Tại ngày 09/10/2018,Tại ngày 09/10/2018,Tại ngày 09/10/2018,Tại ngày 09/10/2018,,,,
Vay và nợ,Tại ngày 09/10/2018 > Vay và nợ,Vay và nợ,2.666.408.519.807,30.188.415.591,-,2.696.596.935.398,2666408519807.0,30188415591.0,,2696596935398.0
"Phải trả người bán,phải trả khác","Tại ngày 09/10/2018 > Phải trả người bán,phải trả khác","Phải trả người bán,phải trả khác",301.333.857.219,602.102.384.001,-,903.436.241.220,301333857219.0,602102384001.0,,903436241220.0
Chi phí phải trả,Tại ngày 09/10/2018 > Chi phí phải trả,Chi phí phải trả,17.461.237.149,-,-,17.461.237.149,17461237149.0,,,17461237149.0
,,,2.985.203.614.175,632.290.799.592,-,3.617.494.413.767,2985203614175.0,632290799592.0,,3617494413767.0
