row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2023 > VND,31/12/2022 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2023 > VND,numeric__31/12/2022 > VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,16,-,3.621.234.343.156,,16.0,,3621234343156.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,-,3.621.234.343.156,,,,3621234343156.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,13.884.118.424.962,21.641.510.477.154,,17.0,13884118424962.0,21641510477154.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.864.938.127.866,20.571.529.234.722,,,13864938127866.0,20571529234722.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,19.180.297.096,1.069.981.242.432,,,19180297096.0,1069981242432.0
III,B > III,III,Tiền gửi của khách hàng,18,86.694.868.216.940,70.208.558.474.916,,18.0,86694868216940.0,70208558474916.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,17.041.340.000,-,,,17041340000.0,
VI,B > VI,VI,Phát hành giấy tờ có giá,19,486.000.000.000,150.000.000.000,,19.0,486000000000.0,150000000000.0
VII,B > VII,VII,Các khoản nợ khác,,3.116.742.239.340,2.264.346.800.890,,,3116742239340.0,2264346800890.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.250.504.603.790,1.597.762.312.753,,,2250504603790.0,1597762312753.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,33,-,5.707.994.041,,33.0,,5707994041.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,866.237.635.550,660.876.494.096,,20.0,866237635550.0,660876494096.0
,,,TỔNG NỘ PHẢI TRẢ,,104.198.770.221.242,97.885.650.096.116,,,104198770221242.0,97885650096116.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,7.997.093.587.052,7.261.906.213.475,,21.0,7997093587052.0,7261906213475.0
1,B > 1,1,Vốn của tổ chức tín dụng,,5.399.712.500.351,5.399.712.500.351,,,5399712500351.0,5399712500351.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,5.399.600.430.000,5.399.600.430.000,,,5399600430000.0,5399600430000.0
\( c \),B > \( c \),\( c \),Thăng dư vốn cổ phần,,98.600.000,98.600.000,,,98600000.0,98600000.0
\( g \),B > \( g \),\( g \),Vốn khác,,13.470.351,13.470.351,,,13470351.0,13470351.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,508.532.089.741,374.937.915.292,,,508532089741.0,374937915292.0
5,B > 5,5,Lợi nhuận chưa phân phối,,2.088.848.996.960,1.487.255.797.832,,,2088848996960.0,1487255797832.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,112.195.863.808.294,105.147.556.309.591,,,112195863808294.0,105147556309591.0
