row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,112.001.521.341,128.623.417.300,13.759.635.263,254.384.573.904,112001521341.0,128623417300.0,13759635263.0,254384573904.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,-,37.948.159.465,7.971.210.616,45.919.370.081,,37948159465.0,7971210616.0,45919370081.0
- Thanh lý trong năm,Nguyên giá > - Thanh lý trong năm,- Thanh lý trong năm,-,(35.355.782.857),(2.387.480.663),(37.743.263.520),,-35355782857.0,-2387480663.0,-37743263520.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,112.001.521.341,131.215.793.908,19.343.365.216,262.560.680.465,112001521341.0,131215793908.0,19343365216.0,262560680465.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,109.520.436.926,12.717.500.402,122.237.937.328,,109520436926.0,12717500402.0,122237937328.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,9.726.794.825,1.990.542.596,11.717.337.421,,9726794825.0,1990542596.0,11717337421.0
- Thanh lý trong năm,Giá trị hao mòn lũy kế > - Thanh lý trong năm,- Thanh lý trong năm,-,(35.355.782.857),(2.387.480.663),(37.743.263.520),,-35355782857.0,-2387480663.0,-37743263520.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,83.891.448.894,12.320.562.335,96.212.011.229,,83891448894.0,12320562335.0,96212011229.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,112.001.521.341,19.102.980.374,1.042.134.861,132.146.636.576,112001521341.0,19102980374.0,1042134861.0,132146636576.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,112.001.521.341,47.324.345.014,7.022.802.881,166.348.669.236,112001521341.0,47324345014.0,7022802881.0,166348669236.0
