row_label_raw,row_label_full,col_0,EURđược quyđổi,USDđược quyđổi,Các ngoại hốikhác được quyđổi và đồngViệt Nam,Tổng,numeric__EURđược quyđổi,numeric__USDđược quyđổi,numeric__Các ngoại hốikhác được quyđổi và đồngViệt Nam,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",1.038,38.961,321.840,361.840,1038.0,38961.0,321840.0,361840.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,2.486,2.147.129,2.149.614,,2486.0,2147129.0,2149614.0
III. Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác (*),III. Tiền gửi và cho vay các TCTD khác (*),3.097,83.438,21.895.709,21.982.245,3097.0,83438.0,21895709.0,21982245.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,726,69.058.315,69.059.041,,726.0,69058315.0,69059041.0
VIII. Chứng khoán đầu tư (*),TÀI SẢN > VIII. Chứng khoán đầu tư (*),VIII. Chứng khoán đầu tư (*),-,-,7.431.411,7.431.411,,,7431411.0,7431411.0
"IX. Góp vốn, đầu tư dài hạn (*)","TÀI SẢN > IX. Góp vốn, đầu tư dài hạn (*)","IX. Góp vốn, đầu tư dài hạn (*)",-,-,82.610,82.610,,,82610.0,82610.0
X. Tài sản cố định,TÀI SẢN > X. Tài sản cố định,X. Tài sản cố định,-,-,243.921,243.921,,,243921.0,243921.0
XI. Tài sản có khác (*),TÀI SẢN > XI. Tài sản có khác (*),XI. Tài sản có khác (*),-,-,11.910.626,11.910.626,,,11910626.0,11910626.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,4.135,125.611,113.091.561,113.221.308,4135.0,125611.0,113091561.0,113221308.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
II. Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,-,19.180,13.864.938,13.884.118,,19180.0,13864938.0,13884118.0
III. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,119,135.699,86.559.050,86.694.868,119.0,135699.0,86559050.0,86694868.0
IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,17.041,17.041,,,17041.0,17041.0
VI. Phát hành giấy tờ có giá,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VI. Phát hành giấy tờ có giá,VI. Phát hành giấy tờ có giá,-,-,486.000,486.000,,,486000.0,486000.0
VII. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VII. Các khoản nợ khác,VII. Các khoản nợ khác,-,-,3.116.742,3.116.742,,,3116742.0,3116742.0
VIII. Vốn và các quỹ,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,-,-,7.997.094,7.997.094,,,7997094.0,7997094.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,119,154.879,112.040.865,112.195.864,119.0,154879.0,112040865.0,112195864.0
Trạng thái tiền tệ nội bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,4.016,(29.268),1.050.696,1.025.444,4016.0,-29268.0,1050696.0,1025444.0
Trạng thái tiền tệ nội ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ nội ngoại bảng,4.016,(29.268),1.050.696,1.025.444,4016.0,-29268.0,1050696.0,1025444.0
